༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི།། ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས།། འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས།། བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད།།	For many aeons deeply pondering, The mighty Sages saw its benefits, Whereby unnumbered multitudes Are brought with ease to supreme joy.
སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་།། སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་།། བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་།། བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ།།	Those who wish to crush the many sorrows of existence, Who wish to quell the pain of living beings, Who wish to have experience of a myriad joys Should never turn away from bodhichitta.
བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས།། འཁོར་བའི་བཙོན་རྭར་བསྡམས་པའི་ཉམ་ཐག་རྣམས།། བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་།། འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར།།	Should bodhichitta come to birth In those who suffer, chained in prisons of saṃsāra, In that instant they are called the children of the Blissful One, Revered by all the world, by gods and humankind.
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ།། མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ།། རིན་ཆེན་རིན་ཐང་མེད་པར་བསྒྱུར་བས་ན།།	For like the supreme substance of the alchemists, It takes our impure flesh and makes of it The body of a Buddha, jewel beyond all price.
བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུངས།།	Such is bodhichitta. Let us grasp it firmly!
འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས།། ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས།། འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས།། རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུངས།།	Since the boundless wisdom of the only guide of beings Perfectly examined and perceived its priceless worth, Those who wish to leave this state of wandering, Should hold well to this precious bodhichitta.
དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི།། འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད།།	All other virtues, like the plantain tree, Produce their fruit, but then their force is spent.
བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་།། འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར།།	Alone the marvelous tree of bodhichitta, Constantly bears fruit and grows unceasingly.
སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་།། དཔའ་ལ་བསྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར།། གང་ལ་བསྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ།།	As though they pass through perils guarded by a hero, Even those weighed down with dreadful wickedness Will instantly be freed through having bodhichitta.
དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བསྟེན།།	Why do those who fear their sins not have recourse to it?
དེས་ནི་དུས་མཐའི་མེས་བཞིན་སྡིག་ཆེན་རྣམས།། སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད།།	Just as by the fire that will destroy the world, Great sins are surely and at once consumed by it.
དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག། བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟང་བཤད།།	Its benefits are thus unbounded As the Wise and Loving Lord explained to Sudhana.
བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན།། རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ།། བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི།། བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ།།	Bodhichitta, the awakened mind, Is known in brief to have two aspects: First, aspiring, bodhichitta in intention; Then active bodhichitta, practical engagement.
འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི།། བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར།། དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི།། བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ།།	As corresponding to the wish to go And then to setting out, The wise should understand respectively The difference that divides these two.
བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི།། འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་།། ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ།། བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན།།	From bodhichitta in intention Great results arise for those still turning in the wheel of life; Yet merit does not rise from it in ceaseless streams As is the case with active bodhichitta.
གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས།།  སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ།། དེ་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ།། བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས།། རྒྱུན་མི་ཆད་པ་དུ་མ་ཞིག། ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་།།	For when, with irreversible intent, The mind embraces bodhichitta, Willing to set free the endless multitudes of beings, In that instant, from that moment on, A great and unremitting stream, A strength of wholesome merit, Even during sleep and inattention, Rises equal to the vastness of the sky.
འདི་ནི་འཐད་པ་དང་བཅས་པར།། ལག་བཟངས་ཀྱིས་ནི་ཞུས་པ་ལས།། དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར།། དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས།།	This the Tathāgata, In the sūtra Subāhu requested, Said with reasoned argument For those inclined to lesser paths.
སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ།། བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་།། ཕན་འདོགས་བསམ་པ་དང་ལྡན་ཏེ།། བསོད་ནམས་དཔག་མེད་ལྡན་འགྱུར་ན།།	If with kindly generosity One merely has the wish to soothe The aching heads of other beings, Such merit knows no bounds.
སེམས་ཅན་རེ་རེའི་མི་བདེ་བ།། དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་།། རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ།། བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས།།	No need to speak, then, of the wish To drive away the endless pain Of each and every living being, Bringing them unbounded excellence.
ཕའམ་ཡང་ན་མ་ཡང་རུང་།། སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད།།	Could our father or our mother Ever have so generous a wish?
ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་།། ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ།།	Do the very gods, the ṛiṣhis, even Brahmā Harbor such benevolence as this?
སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན།། རང་གི་དོན་དུ་འདི་འདྲའི་སེམས།། རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན།།	For in the past they never, Even in their dreams, Wished something like this even for themselves.
གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ།།	How could they do so for another’s sake?
གཞན་དག་རང་གི་དོན་དུ་ཡང་།། མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་།། སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི།། སྔ་ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས།།	This aim to bring the benefit of beings, A benefit that others wish not even for themselves, This noble, jewellike state of mind Arises truly wondrous, never seen before.
འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ།། སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ།། རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་།། དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་།།	This pain-dispelling draft, This cause of joy for those who wander through the world, This precious attitude, this jewel of mind How shall we calculate its merit?
ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་།། སངས་རྒྱས་མཆོད་ལས་ཁྱད་འཕགས་ན།། སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི།། བདེ་དོན་བརྩོན་པ་སྨོས་ཅི་དགོས།།	If the simple thought to be of help to others Exceeds in worth the worship of the Buddhas, What need is there to speak of actual deeds That bring about the weal and benefit of beings?
སྡུག་བསྔལ་འདོར་འདོད་སེམས་ཡོད་ཀྱང་།། སྡུག་བསྔལ་ཉིད་ལ་མངོན་པར་རྒྱུག།	For beings long to free themselves from misery, But misery itself they follow and pursue.
བདེ་བ་འདོད་ཀྱང་གཏི་མུག་པས།། རང་གི་བདེ་བ་དགྲ་ལྟར་འཇོམས།།	They long for joy, but in their ignorance Destroy it, as they would their foe.
གང་ཞིག་བདེ་བས་ཕོངས་པ་དང་།། སྡུག་བསྔལ་མང་ལྡན་དེ་དག་ལ།། བདེ་བ་ཀུན་གྱིས་ཚིམ་པ་དང་།། སྡུག་བསྔལ་ཐམས་ཅད་གཅོད་བྱེད་ཅིང་།། གཏི་མུག་ཀྱང་ནི་སེལ་བྱེད་པ།།	But those who fill with bliss, All beings destitute of joy, Who cut all pain and suffering away, From those weighed down with misery, Who drive away the darkness of their ignorance—
དེ་དང་དགེ་མཚུངས་ག་ལ་ཡོད།། དེ་འདྲའི་བཤེས་ཀྱང་ག་ལ་ཡོད།།	What virtue could be matched with theirs? What friend could be compared to them?
བསོད་ནམས་དེ་འདྲའང་ག་ལ་ཡོད།།	What merit is there similar to this?
ཕན་བཏགས་ལན་ལྡོན་གང་ཡིན་པ།། དེ་ཡང་རེ་ཞིག་བསྔགས་འོས་ན།། མ་བཅོལ་ལེགས་པར་བྱེད་པ་ཡི།། བྱང་ཆུབ་སེམས་དཔའ་སྨོས་ཅི་དགོས།།	If someone who returns a favor Is deserving of some praise, Why need we speak of Bodhisattvas, Those who do good even unsolicited?
འགྲོ་བ་ཉུང་ཟད་ནར་མའི་ཟས་སྦྱོར་བ།། སྐད་ཅིག་ཟས་ཙམ་སྦྱིན་པར་བྱེད་པ་དང་།། བརྙས་བཅས་ཉིན་ཕྱེད་འགྲངས་པར་བྱེད་པ་ཡང་།། དགེ་བ་བྱེད་པ་ཡིན་ཞེས་སྐྱེ་བོས་བཀུར།།	People praise as virtuous donors Those who with contempt support A few with plain and ordinary food: A moment’s gift that feeds for only half a day.
སེམས་ཅན་གྲངས་མཐའ་ཡས་ལ་དུས་རིང་དུ།། བདེ་བར་གཤེགས་ཀྱི་བདེ་བ་བླ་ན་མེད།། ཡིད་ལ་བསམ་པ་མཐའ་དག་རྫོགས་བྱེད་པའི།། རྟག་ཏུ་སྦྱིན་པ་ལྟ་ཞིག་སྨོས་ཅི་དགོས།།	What need is there to speak of those Who long bestow on countless multitudes The peerless joy of blissful Buddhahood The ultimate fulfillment of their hopes?
གང་ཞིག་དེ་འདྲའི་རྒྱལ་སྲས་སྦྱིན་བདག་ལ།། གལ་ཏེ་ངན་སེམས་སྐྱེད་པར་བྱེད་པ་དེ།། ངན་སེམས་བསྐྱེད་པའི་གྲངས་བཞིན་བསྐལ་པར་ནི།། དམྱལ་བར་གནས་པར་འགྱུར་ཞེས་ཐུབ་པས་གསུངས།།	All those who harbor evil in their minds Against such lords of generosity, the Buddha’s heirs, Will stay in hell, the mighty Sage has said, For ages equal to the moments of their malice.
འོན་ཏེ་གང་ཞིག་ཡིད་རབ་དྭང་བྱེད་ན།། དེ་ཡི་འབྲས་བུ་དེ་བས་ལྷག་པར་འཕེལ།།	But joyous and devoted thoughts Will yield abundant fruits in greater strength.
རྒྱལ་སྲས་རྣམས་ལ་དོ་གལ་ཆེན་པོས་ཀྱང་།། སྡིག་པ་མི་འབྱུང་དགེ་བ་ངང་གིས་འཕེལ།།	Even in great trouble, Bodhisattvas Never bring forth wrong; their virtues naturally increase.
གང་ལ་སེམས་ཀྱི་དམ་པ་རིན་ཆེན་དེ།། སྐྱེས་པ་དེ་ཡི་སྐུ་ལ་ཕྱག་འཚལ་ཞིང་།།	To them in whom this precious jewel of mind Is born—to them I bow!
གང་ལ་གནོད་པ་བྱས་ཀྱང་བདེ་འབྲེལ་བ།། བདེ་བའི་འབྱུང་གནས་དེ་ལ་སྐྱབས་སུ་མཆི།།	I go for refuge to those springs of happiness Who bring their very enemies to perfect bliss.
དེ་བཞིན་གཤེགས་པ་རྣམས་དང་དམ་པའི་ཆོས།། དཀོན་མཆོག་དྲི་མ་མེད་དང་སངས་རྒྱས་སྲས།། ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་ལེགས་པར་མཆོད།།	2 Confession To the Buddhas, those thus gone, And to the sacred Dharma, spotless and supremely rare, And to the Buddha’s offspring, oceans of good qualities, That I might gain this precious attitude, I make a perfect offering.
ཆུ་གཙང་ཡིད་དུ་འོང་བ་ཅི་ཡོད་དང་།། རིན་ཆེན་རི་བོ་དང་ནི་དེ་བཞིན་དུ།། ནགས་ཚལ་ས་ཕྱོགས་དབེན་ཞིང་ཉམས་དགའ་དང་།། ལྗོན་ཤིང་མེ་ཏོག་རྒྱན་སྤྲས་སྤུད་པ་དང་།། ཤིང་གང་འབྲས་བཟང་ཡལ་ག་དུད་པ་དང་།།	I offer every fruit and flower, Every kind of healing draft And all the precious gems the world contains, With all pure waters of refreshment; Every mountain wrought of precious jewels, All sweet and lonely forest groves, The trees of paradise adorned with blossom, Trees with branches bowed with perfect fruit; The perfumed fragrance of divine and other realms, All incense, wishing trees, and trees of gems, All crops that grow without the tiller’s care, And every sumptuous object worthy to be offered; Lakes and meres adorned with lotuses, Delightful with the sweet-voiced cries of waterbirds,
ཡོངས་སུ་བཟུང་བ་མེད་པ་དེ་དག་ཀུན།། བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག། སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན།།	And everything unclaimed and free Extending to the margins of the boundless sky.I hold them all before my mind, and to the mighty Sage, the greatest of our kind, And to his heirs, I make a perfect offering.
ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས།། བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས།།	Sublime recipients, compassionate lords, O think of me with love; accept these gifts of mine!
བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ།། མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས།།	For, destitute of merit, I am very poor; I have no other wealth.
དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི།། བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག།	And so, protectors, You whose wise intentions are for others’ good, In your great power, receive them for my sake.
རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི།། བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི།།	Enlightened ones and all your Bodhisattva heirs, I offer you my body throughout all my lives.
སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག།	Supreme courageous ones accept me totally.
གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི།།	For with devotion I will be your slave.
བདག་ནི་ཁྱེད་ཀྱིས་ཡོངས་སུ་བཟུང་བས་ན།། སྲིད་ན་མི་འཇིགས་སེམས་ཅན་ཕན་པར་བགྱི།།	For if you will accept me, I will be Undaunted by saṃsāra and will act for beings’ sake.
སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང་།། སྡིག་པ་གཞན་ཡང་སླན་ཆད་མི་བགྱིད་དོ།།	I’ll leave behind the evils of my past, And ever after turn my face from them.
ཁྲུས་ཀྱི་ཁང་པ་ཤིན་ཏུ་དྲི་ཞིམ་པ།། ཤེལ་གྱི་ས་གཞི་གསལ་ཞིང་འཚེར་བ་བསྟར།། རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ།། ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི།། རོལ་མོ་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ།། དེ་དག་སྐུ་ལ་མཚུངས་པ་མེད་པའི་གོས།། གཙང་ལ་དྲི་རབ་བསྒོས་པས་སྐུ་ཕྱི་འོ།།	A bathing chamber excellently fragrant, With even floors of crystal, radiant and clear, And graceful pillars shimmering with gems, All hung about with gleaming canopies of pearls— There the blissful Buddhas and their heirs I’ll bathe with many a precious vase, Abrim with water fragrant and delightful, With cloths of unexampled quality, With spotless, perfumed towels I will dry them,
ན་བཟའ་ཤིན་ཏུ་དྲི་ཞིམ་དམ་པ་འབུལ།། གོས་བཟང་སྲབ་ལ་འཇམ་པ་སྣ་ཚོགས་དང་།། རྒྱན་མཆོག་བརྒྱ་ཕྲག་དེ་དང་དེ་དག་གིས།། འཕགས་པ་ཀུན་ཏུ་བཟང་དང་འཇམ་དབྱངས་དང་།། འཇིག་རྟེན་དབང་ཕྱུག་སོགས་ལའང་བརྒྱན་པར་བགྱི།།	And offer splendid scented clothes, Well-dyed and of surpassing excellence. With different garments, light and supple, And a hundred beautiful adornments, I will grace sublime Samantabhadra, Mañjughoṣha, Lokeshvara, and their kin.
སྟོང་གསུམ་ཀུན་ཏུ་དྲི་ངད་ལྡང་བ་ཡི།། དྲི་མཆོག་རྣམས་ཀྱིས་ཐུབ་དབང་ཀུན་གྱི་སྐུ།། གསེར་སྦྱངས་བཙོ་མ་བྱི་དོར་བྱས་པ་ལྟར།། འོད་ཆགས་འབར་བ་དེ་དག་བྱུག་པར་བགྱི།།	And with a sumptuous fragrance which Pervades a thousand million worlds, I will anoint the bodies of the mighty Sages, Gleaming bright like burnished gold refined and cleansed.
ཐུབ་དབང་མཆོད་གནས་མཆོག་ལ་ཡིད་འོང་བའི།། མེ་ཏོག་མནྡ་ར་དང་པདྨ་དང་།། ཨུཏྤལ་ལ་སོགས་དྲི་ཞིམ་ཐམས་ཅད་དང་།། ཕྲེང་བ་སྤེལ་ལེགས་ཡིད་འོང་རྣམས་ཀྱིས་མཆོད།།	I place before the mighty Sages, perfect objects of my worship, Glorious flowers like lotus and mandāravā, The utpala, and other fragrant blossoms, Worked and twined in lovely scented garlands.
སྤོས་མཆོག་ཡིད་འཕྲོག་དྲི་ངད་ཁྱབ་པ་ཡི།། བདུག་པའི་སྤྲིན་ཚོགས་རྣམས་ཀྱང་དེ་ལ་དབུལ།། ཞལ་ཟས་བཟའ་བཏུང་སྣ་ཚོགས་བཅས་པ་ཡི།། ལྷ་བཤོས་རྣམས་ཀྱང་དེ་ལ་དབུལ་བར་བགྱི།།	I will offer swelling clouds of frankincense, Whose ambient perfume ravishes the mind, And various foods and every kind of drink, All delicacies worthy of the gods.
གསེར་གྱི་པདྨ་ཚར་དུ་དངར་བ་ཡི།། རིན་ཆེན་སྒྲོན་མེ་རྣམས་ཀྱང་དབུལ་བར་བགྱི།། ས་གཞི་བསྟར་བ་སྤོས་ཀྱིས་བྱུགས་པ་དེར།། མེ་ཏོག་ཡིད་འོང་སིལ་མ་དགྲམ་པར་བགྱི།།	I will offer precious lamps Arranged in rows on lotuses of gold, A carpet of sweet flowers scattering Upon the level, incense-sprinkled ground.
གཞལ་མེད་ཕོ་བྲང་བསྟོད་དབྱངས་ཡིད་འོང་ལྡན།། མུ་ཏིག་རིན་ཆེན་རྒྱན་འཕྱང་མཛེས་འབར་བ།། དཔག་ཡས་ནམ་མཁའི་རྒྱན་གྱུར་དེ་དག་ཀྱང་།། ཐུགས་རྗེའི་རང་བཞིན་ཅན་ལ་དབུལ་བར་བགྱི།།	To those whose very nature is compassion I will give vast palaces, resounding with fair praise, All decked with precious pearls and beauteous pendant gems, Gleaming jewels that deck the amplitude of space.
རིན་ཆེན་གདུགས་མཛེས་གསེར་གྱི་ཡུ་བ་ཅན།། ཁོར་ཡུག་རྒྱན་གྱི་རྣམ་པ་ཡིད་འོང་བརྒྱན།། དབྱིབས་ལེགས་བལྟ་ན་སྡུག་པ་བསྒྲེང་བ་ཡང་།། རྟག་ཏུ་ཐུབ་དབང་རྣམས་ལ་དབུལ་བར་བགྱི།།	Fair and precious parasols adorned with golden shafts, All bordered round with hems of precious jewels, Upright, well-proportioned, pleasing to the eye, Again, all this I give to all the Buddhas.
དེ་ལས་གཞན་ཡང་མཆོད་པའི་ཚོགས།། རོལ་མོ་དབྱངས་སྙན་ཡིད་འོང་ལྡན།། སེམས་ཅན་སྡུག་བསྔལ་སིམ་བྱེད་པའི།། སྤྲིན་རྣམས་སོ་སོར་གནས་གྱུར་ཅིག།	May a host of other offerings, And clouds of ravishing sweet melody That solaces the pain of living beings Arise and constantly abide.
དམ་ཆོས་དཀོན་མཆོག་ཐམས་ཅད་དང་།། མཆོད་རྟེན་རྣམས་དང་སྐུ་གཟུགས་ལ།། རིན་ཆེན་མེ་ཏོག་ལ་སོགས་ཆར།། རྒྱུན་མི་འཆད་པར་འབབ་པར་ཤོག།	May rains of flowers and every precious gem Fall down in an unceasing stream Upon the Jewels of Sacred Dharma, Images and all supports for offering.
ཇི་ལྟར་འཇམ་དབྱངས་ལ་སོགས་པས།། རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ།། དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས།། མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད།།	Just as Mañjughoṣha and the like Made offering to all the Conquerors, I do likewise to all the Buddhas our protectors, And to all their Bodhisattva children.
ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་བདག། བསྟོད་དབྱངས་ཡན་ལག་རྒྱ་མཚོས་བསྟོད།།	To these vast oceans of good qualities I offer praise, a sea of airs and harmonies.
བསྟོད་དབྱངས་སྙན་སྤྲིན་དེ་དག་ལ།། ངེས་པར་ཀུན་ཏུ་འབྱུང་གྱུར་ཅིག།	May clouds of tuneful eulogy Ascend unceasingly before them.
དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན།། ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ།། ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙེད་ཀྱི།། ལུས་བཏུད་པས་ནི་བདག་ཕྱག་འཚལ།།	To Buddhas of the past, the present, and all future time, And to the Dharma and Sublime Assembly, With bodies many as the grains of dust Upon the earth, I will prostrate and bow.
བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་།། མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ།། མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་།། བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ།།	To shrines and all supports Of bodhichitta I bow down; To abbots who transmit the vows, to every learned master, And to all sublime practitioners of Dharma.
བྱང་ཆུབ་སྙིང་པོར་མཆིས་ཀྱི་བར།། སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི།།	Until the essence of enlightenment is reached, I go for refuge to the Buddhas.
ཆོས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཡི།། ཚོགས་ལའང་དེ་བཞིན་སྐྱབས་སུ་མཆི།།	Also I take refuge in the Dharma And in all the host of Bodhisattvas.
