Line	Tibetan	Sanskrit
15	འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས། །ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས། །འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས། །རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་། །	सुपरीक्षितमप्रमेयधीभि-र्बहुमूल्यं जगदेकसार्थवाहैः। गतिपत्तनविप्रवासशीलाःसुदृढं गृह्णत बोधिचित्तरत्नम्॥११॥
16	དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི། །འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད། །བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། །འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར། །	कदलीव फलं विहाय याति क्षयमन्यत् कुशलं हि सर्वमेव। सततं फलति क्षयं न याति प्रसवत्येव तु बोधिचित्तवृक्षः॥१२॥
17	སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་། །དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར། །གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན། །	कृत्वापि पापानि सुदारुणानियदाश्रयादुत्तरति क्षणेन। शूराश्रयेणेव महाभयानि नाश्रीयते तत्कथमज्ञसत्त्वैः॥१३॥
18	དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས། །སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད། །དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག །བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟང་བཤད། །	युगान्तकालानलवन्महान्ति पापानि यन्निर्दहति क्षणेन। यस्यानुशंसानमितानुवाच मैत्रेयनाथः सुधनाय धीमान्॥१४॥
19	བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན། །རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ། །བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི། །བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ། །	तद्बोधिचित्तं द्विविधं विज्ञातव्यं समासतः। बोधिप्रणिधिचित्तं च बोधिप्रस्थानमेव च॥१५॥
20	འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །	गन्तुकामस्य गन्तुश्च यथा भेदः प्रतीयते। तथा भेदोऽनयोर्ज्ञेयो याथासंख्येन पण्डितैः॥१६॥
21	བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི། །འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་། །ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ། །བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན། །	बोधिप्रणिधिचित्तस्य संसारेऽपि फलं महत्। न त्वविच्छिन्नपुण्यत्वं यथा प्रस्थानचेतसः॥१७॥
22	གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས། །མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར། །མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ། །སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ། །	यतः प्रभृत्यपर्यन्तसत्त्वधातुप्रमोक्षणे। समाददाति तच्चित्तमनिवर्त्येन चेतसा॥१८॥
23	དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ། །བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས། །རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག །ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་། །	ततःप्रभृति सुप्तस्य प्रमत्तस्याप्यनेकशः। अविच्छिन्नाः पुण्यधाराः प्रवर्तन्ते नभःसमाः॥१९॥
24	འདི་ནི་འཐད་པ་དང་བཅས་པར། །ལག་བཟང་གིས་ནི་ཞུས་པ་ལས། །དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས། །	इदं सुबाहुपृच्छायां सोपपत्तिकमुक्तवान्। हीनाधिमुक्तिसत्त्वार्थं स्वयमेव तथागतः॥२०॥
25	སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ། །བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་། །ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ། །བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན། །	शिरःशूलानि सत्त्वानां नाशयामीति चिन्तयन्। अप्रमेयेण पुण्येन गृह्यते स्म हिताशयः॥२१॥
26	སེམས་ཅན་རེ་རེའི་མི་བདེ་བ། །དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་། །རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ། །བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས། །	किमुताप्रतिमं शूलमेकैकस्य जिहीर्षतः। अप्रमेयगुणं सत्त्वमेकैकं च चिकीर्षतः॥२२॥
27	ཕའམ་ཡང་ན་མ་ཡང་རུང་། །སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་། །ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ། །	कस्य मातुः पितुर्वापि हिताशंसेयमीदृशी। देवतानामृषीणां वा ब्रह्मणां वा भविष्यति॥२३॥
28	སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན། །རང་གི་དོན་དུ་འདི་འདྲའི་སེམས། །རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན། །གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ། །	तेषामेव च सत्त्वानां स्वार्थेऽप्येष मनोरथः। नोत्पन्नपूर्वः स्वप्नेऽपि परार्थे संभवः कुतः॥२४॥
29	གཞན་དག་རང་གི་དོན་དུ་ཡང་། །མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་། །སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི། །སྔ་ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས། །	सत्त्वरत्नविशेषोऽयमपूर्वो जायते कथम्। यत्परार्थाशयोऽन्येषां न स्वार्थेऽप्युपजायते॥२५॥
30	འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ། །སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ། །རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་། །དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་། །	जगदानन्दबीजस्य जगद्दुःखौषधस्य च। चित्तरत्नस्य यत्पुण्यं तत्कथं हि प्रमीयताम्॥२६॥
31	ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་། །སངས་རྒྱས་མཆོད་ལས་ཁྱད་འཕགས་ན། །སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི། །བདེ་དོན་བརྩོན་པ་སྨོས་ཅི་དགོས། །	हिताशंसनमात्रेण बुद्धपूजा विशिष्यते। किं पुनः सर्वसत्त्वानां सर्वसौख्यार्थमुद्यमात्॥२७॥
32	སྡུག་བསྔལ་འདོར་འདོད་སེམས་ཡོད་ཀྱང་། །སྡུག་བསྔལ་ཉིད་ལ་མངོན་པར་རྒྱུག །བདེ་བ་འདོད་ཀྱང་གཏི་མུག་པས། །རང་གི་བདེ་བ་དགྲ་ལྟར་འཇོམས། །	दुःखमेवाभिधावन्ति दुःखनिःसरणाशया। सुखेच्छयैव संमोहात् स्वसुखं घ्नन्ति शत्रुवत्॥२८॥
33	གང་ཞིག་བདེ་བས་ཕོངས་པ་དང་། །སྡུག་བསྔལ་མང་ལྡན་དེ་དག་ལ། །བདེ་བ་ཀུན་གྱིས་ཚིམ་པ་དང་། །སྡུག་བསྔལ་ཐམས་ཅད་གཅོད་བྱེད་ཅིང་། །	यस्तेषां सुखरङ्काणां पीडितानामनेकशः। तृप्तिं सर्वसुखैः कुर्यात्सर्वाः पीडाश्छिनत्ति च॥२९॥
34	གཏི་མུག་ཀྱང་ནི་སེལ་བྱེད་པ། །དེ་དང་དགེ་མཚུངས་ག་ལ་ཡོད། །དེ་འདྲའི་བཤེས་ཀྱང་ག་ལ་ཡོད། །བསོད་ནམས་དེ་འདྲའང་ག་ལ་ཡོད། །	नाशयत्यपि संमोहं साधुस्तेन समः कुतः। कुतो वा तादृशं मित्रं पुण्यं वा तादृशं कुतः॥३०॥
35	ཕན་བཏགས་ལན་ལྡོན་གང་ཡིན་པ། །དེ་ཡང་རེ་ཞིག་བསྔགས་འོས་ན། །མ་བཅོལ་ལེགས་པར་བྱེད་པ་ཡི། །བྱང་ཆུབ་སེམས་དཔའ་སྨོས་ཅི་དགོས། །	कृते यः प्रतिकुर्वीत सोऽपि तावत्प्रशस्यते। अव्यापारितसाधुस्तु बोधिसत्त्वः किमुच्यताम्॥३१॥
36	འགྲོ་བ་ཉུང་ཟད་ནར་མའི་ཟས་སྦྱོར་བ། །སྐད་ཅིག་ཟས་ཙམ་སྦྱིན་པར་བྱེད་པ་དང་། །བརྙས་བཅས་ཉིན་ཕྱེད་འགྲངས་པར་བྱེད་པ་ཡང་། །དགེ་བ་བྱེད་པ་ཡིན་ཞེས་སྐྱེ་བོས་བཀུར། །	कतिपयजनसत्त्रदायकः कुशलकृदित्यभिपूज्यते जनैः। क्षणमशनकमात्रदानतःसपरिभवं दिवसार्धयापनात्॥३२॥
37	སེམས་ཅན་གྲངས་མཐའ་ཡས་ལ་དུས་རིང་དུ། །བདེ་བར་གཤེགས་ཀྱི་བདེ་བ་བླ་ན་མེད། །ཡིད་ལ་བསམ་པ་མཐའ་དག་རྫོགས་བྱེད་པ། །རྟག་ཏུ་སྦྱིན་པ་ལྟ་ཞིག་སྨོས་ཅི་དགོས། །	किमु निरवधिसत्त्वसंख्यया निरवधिकालमनुप्रयच्छतः। गगनजनपरिक्षयाक्षयं सकलमनोरथसंप्रपूरणम्॥३३॥
38	གང་ཞིག་དེ་འདྲའི་རྒྱལ་སྲས་སྦྱིན་བདག་ལ། །གལ་ཏེ་ངན་སེམས་སྐྱེད་པར་བྱེད་ན་དེ། །ངན་སེམས་བསྐྱེད་པའི་གྲངས་བཞིན་བསྐལ་པར་ནི། །དམྱལ་བར་གནས་པར་འགྱུར་ཞེས་ཐུབ་པས་གསུངས། །	इति सत्त्रपतौ जिनस्य पुत्रे कलुषं स्वे हृदये करोति यश्च। कलुषोदयसंख्यया स कल्पान् नरकेष्वावसतीति नाथ आह॥३४॥
39	འོན་ཏེ་གང་ཞིག་ཡིད་རབ་དང་བྱེད་ན། །དེ་ཡི་འབྲས་བུ་དེ་བས་ལྷག་པར་འཕེལ། །རྒྱལ་སྲས་རྣམས་ལ་དོ་གལ་ཆེན་པོས་ཀྱང་། །སྡིག་པ་མི་འབྱུང་དགེ་བ་ངང་གིས་འཕེལ། །	अथ यस्य मनः प्रसादमेति प्रसवेत्तस्य ततोऽधिकं फलम्। महता हि बलेन पापकं जिनपुत्रेषु शुभं त्वयत्नतः॥३५॥
40	གང་ལ་སེམས་ཀྱི་དམ་པ་རིན་ཆེན་དེ། །སྐྱེས་པ་དེ་ཡི་སྐུ་ལ་ཕྱག་འཚལ་ཞིང་། །གང་ལ་གནོད་པ་བྱས་ཀྱང་བདེ་འབྲེལ་བ། །བདེ་བའི་འབྱུང་གནས་དེ་ལ་སྐྱབས་སུ་མཆི། །	तेषां शरीराणि नमस्करोमियत्रोदितं तद्वरचित्तरत्नम्। यत्रापकारोऽपि सुखानुबन्धीसुखाकरांस्तान् शरणं प्रयामि॥३६॥
41	བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས་བྱང་ཆུབ་སེམས་ཀྱི་ཕན་ཡོན་བཤད་པ་ཞེས་བྱ་བ་སྟེ་ལེའུ་དང་པོའོ།། །།	इति बोधिचित्तानुशंसाविवरणं नाम प्रथमः परिच्छेदः॥
42	རིན་ཆེན་སེམས་དེ་གཟུང་བར་བྱ་བའི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་རྣམས་དང་དམ་པའི་ཆོས། །དཀོན་མཆོག་དྲི་མ་མེད་དང་སངས་རྒྱས་སྲས། །ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་ལེགས་པར་མཆོད། །	तच्चित्तरत्नग्रहणाय सम्यक् पूजां करोम्येष तथागतानाम्। सद्धर्मरत्नस्य च निर्मलस्य बुद्धात्मजानां च गुणोदधीनाम्॥१॥
43	མེ་ཏོག་འབྲས་བུ་ཇི་སྙེད་ཡོད་པ་དང་། །སྨན་གྱི་རྣམ་པ་གང་དག་ཡོད་པ་དང་། །འཇིག་རྟེན་རིན་ཆེན་ཇི་སྙེད་ཡོད་པ་དང་། །ཆུ་གཙང་ཡིད་དུ་འོང་བ་ཅི་ཡོད་དང་། །	यावन्ति पुष्पाणि फलानि चैव भैषज्यजातानि च यानि सन्ति। रत्नानि यावन्ति च सन्ति लोके जलानि च स्वच्छमनोरमाणि॥२॥
44	རིན་ཆེན་རི་བོ་དང་ནི་དེ་བཞིན་དུ། །ནགས་ཚལ་ས་ཕྱོགས་དབེན་ཞིང་ཉམས་དགའ་དང་། །ལྗོན་ཤིང་མེ་ཏོག་རྒྱན་སྤྲས་སྤུད་པ་དང་། །ཤིང་གང་འབྲས་བཟང་ཡལ་ག་དུད་པ་དང་། །	महीधरा रत्नमयास्तथान्येवनप्रदेशाश्च विवेकरम्याः। लताः सपुष्पाभरणोज्ज्वलाश्च द्रुमाश्च ये सत्फलनम्रशाखाः॥३॥
45	ལྷ་སོགས་འཇིག་རྟེན་ན་ཡང་དྲི་དང་ནི། །སྤོས་དང་དཔག་བསམ་ཤིང་དང་རིན་ཆེན་ཤིང་། །མ་རྨོས་འཁྲུངས་པའི་ལོ་ཏོག་རྣམ་པ་དང་། །གཞན་ཡང་མཆོད་པར་འོས་པའི་རྒྱན་རྣམས་ནི། །	देवादिलोकेषु च गन्धधूपाः कल्पद्रुमा रत्नमयाश्च वृक्षाः। सरांसि चाम्भोरुहभूषणानिहंसस्वनात्यन्तमनोहराणि॥४॥
46	མཚོ་དང་རྫིང་བུ་པདྨས་བརྒྱན་པ་དག །ངང་པ་ཤིན་ཏུ་སྐད་སྙན་ཡིད་འོང་ལྡན། །ནམ་མཁའ་རབ་འབྱམས་ཁམས་ཀྱི་མཐས་གཏུགས་པ། །ཡོངས་སུ་གཟུང་བ་མེད་པ་དེ་དག་ཀུན། །	अकृष्टजातानि च शस्यजाता-न्यन्यानि वा पूज्यविभूषणानि। आकाशधातुप्रसरावधीनि सर्वाण्यपीमान्यपरिग्रहाणि॥५॥
47	བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །	आदाय बुद्ध्या मुनिपुंगवेभ्यो निर्यातयाम्येष सपुत्रकेभ्यः। गृह्णन्तु तन्मे वरदक्षिणीया महाकृपा मामनुकम्पमानाः॥६॥
48	བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །	अपुण्यवानस्मि महादरिद्रः पूजार्थमन्यन्मम नास्ति किंचित्। अतो ममार्थाय परार्थचित्ता गृह्णन्तु नाथा इदमात्मशक्त्या॥७॥
49	རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི། །བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི། །སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག །གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི། །	ददामि चात्मानमहं जिनेभ्यः सर्वेण सर्वं च तदात्मजेभ्यः। परिग्रहं मे कुरुताग्रसत्त्वा युष्मासु दासत्वमुपैमि भक्त्या॥८॥
50	བདག་ནི་ཁྱེད་ཀྱིས་ཡོངས་སུ་བཟུང་བས་ན། །སྲིད་ན་མི་འཇིགས་སེམས་ཅན་ཕན་པ་བགྱིད། །སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང་། །སྡིག་པ་གཞན་ཡང་སླན་ཆད་མི་བགྱིད་དོ། །	परिग्रहेणास्मि भवत्कृतेन निर्भीर्भवे सत्त्वहितं करोमि। पूर्वं च पापं समतिक्रमामिनान्यच्च पापं प्रकरोमि भूयः॥९॥
51	ཁྲུས་ཀྱི་ཁང་པ་ཤིན་ཏུ་དྲི་ཞིམ་པ། །ཤེལ་གྱི་ས་གཞི་གསལ་ཞིང་འཚེར་བ་བསྟར། །རིན་ཆེན་འབར་བའི་ཀ་བ་ཡིད་འོང་ལྡན། །མུ་ཏིག་འོད་ཆགས་བླ་རེ་བྲེས་པ་དེར། །	रत्नोज्ज्वलस्तम्भमनोरमेषु मुक्तामयोद्भासिवितानकेषु। स्वच्छोज्ज्वलस्फाटिककुट्टिमेषुसुगन्धिषु स्नानगृहेषु तेषु॥१०॥
52	དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ། །རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི། །རོལ་མོར་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ། །	मनोज्ञगन्धोदकपुष्पपूर्णैः कुम्भैर्महारत्नमयैरनेकैः। स्नानं करोम्येष तथागतानां तदात्मजानां च सगीतिवाद्यम्॥११॥
53	དེ་དག་སྐུ་ལ་མཚུངས་པ་མེད་པའི་གོས། །གཙང་ལ་དྲི་རབ་བསྒོས་པས་སྐུ་ཕྱིའོ། །དེ་ནས་དེ་ལ་ཁ་དོག་ལེགས་བསྒྱུར་བའི། །ན་བཟའ་ཤིན་ཏུ་དྲི་ཞིམ་དམ་པ་འབུལ། །	प्रधूपितैर्घौतमलैरतुल्यै-र्वस्त्रैश्च तेषां तनुमुन्मृषामि। ततः सुरक्तानि सुधूपितानि ददामि तेभ्यो वरचीवराणि॥१२॥
54	གོས་བཟང་སྲབ་ལ་འཇམ་པ་སྣ་ཚོགས་དང་། །རྒྱན་མཆོག་བརྒྱ་ཕྲག་དེ་དང་དེ་དག་གིས། །འཕགས་པ་ཀུན་ཏུ་བཟང་དང་འཇམ་དབྱངས་དང་། །འཇིག་རྟེན་དབང་ཕྱུག་སོགས་ལའང་བརྒྱན་པར་བགྱི། །	दिव्यैर्मृदुश्लक्ष्णविचित्रशोभै-र्वस्त्रैरलंकारवरैश्च तैस्तैः। समन्तभद्राजितमञ्जुघोष-लोकेश्वरादीनपि मण्डयामि॥१३॥
55	སྟོང་གསུམ་ཀུན་ཏུ་དྲི་ངད་ལྡང་བ་ཡི། །དྲི་མཆོག་རྣམས་ཀྱིས་ཐུབ་དབང་ཀུན་གྱི་སྐུ། །གསེར་སྦྱངས་བཙོ་མ་བྱི་དོར་བྱས་པ་ལྟར། །འོད་ཆགས་འབར་བ་དེ་དག་བྱུག་པར་བགྱི། །	सर्वत्रिसाहस्रविसारिगन्धै-र्गन्धोत्तमैस्ताननुलेपयामि। सूत्तप्तसून्मृष्टसुधौतहेम-प्रभोज्ज्वलान् सर्वमुनीन्द्रकायान्॥१४॥
56	ཐུབ་དབང་མཆོད་གནས་མཆོག་ལ་ཡིད་འོང་བའི། །མེ་ཏོག་མནྡ་ར་དང་པདྨ་དང་། །ཨུཏྤལ་ལ་སོགས་དྲི་ཞིམ་ཐམས་ཅད་དང་། །ཕྲེང་བ་སྤེལ་ལེགས་ཡིད་འོང་རྣམས་ཀྱིས་མཆོད། །	मान्दारवेन्दीवरमल्लिकाद्यैः सर्वैः सुगन्धैः कुसुमैर्मनोज्ञैः। अभ्यर्चयाभ्यर्च्यतमान् मुनीन्द्रान् स्रग्भिश्च संस्थानमनोरमाभिः॥१५॥
57	སྤོས་མཆོག་ཡིད་འཕྲོག་དྲི་ངད་ཁྱབ་པ་ཡི། །བདུག་པའི་སྤྲིན་ཚོགས་རྣམས་ཀྱང་དེ་ལ་དབུལ། །ཞལ་ཟས་བཟའ་བཏུང་སྣ་ཚོགས་བཅས་པ་ཡི། །ལྷ་བཤོས་རྣམས་ཀྱང་དེ་ལ་དབུལ་བར་བགྱི། །	स्फीतस्फुरद्गन्धमनोरमैश्च तान् धूपमेघैरुपधूपयामि। भोज्यैश्च खाद्यैर्विविधैश्च पेयै-स्तेभ्यो निवेद्यं च निवेदयामि॥१६॥
