སྨོས་ཅི་དགོས་	what need to speak of	An expression indicating that something is so obvious it doesn't need to be mentioned
ཕ	father	male parent
མ	mother	female parent
ཕན་སེམས	altruism	selfless concern for the well-being of others
ལྷ	gods	divine or supernatural beings
དྲང་སྲོང་	rishis	sages or seers in ancient Indian tradition
ཚངས་པ	Brahma	a creator god in Hinduism and Buddhism
སེམས་ཅན་	Sentient beings	Living creatures capable of perception and feeling
རྨི་ལམ་	Dream	A series of thoughts, images, and sensations occurring in a person's mind during sleep
གཞན་	Other	A person or thing that is different or distinct from one already mentioned
དོན་དུ་	For the sake of	With the purpose or intention of benefiting someone or something
སེམས་ཅན་	sentient beings	Living creatures capable of perception and feeling
དོན་སེམས་	wish to benefit	The intention or desire to help or do good for others
སེམས་ཀྱི་རིན་ཆེན་	jewel of mind	A precious or valuable mental state or attitude
ཁྱད་པར་	special	Distinct, unique, or exceptional
སྔ་ན་མེད་པའི་	without precedent	Something that has never occurred or existed before
རྨད་	wonder	Something remarkable or extraordinary
འགྲོ་བ་	wanderer	A being who wanders in the cycle of existence
སེམས་ཅན་	beings	Sentient creatures
སྡུག་བསྔལ་	suffering	Pain, distress, or hardship
རིན་ཆེན་སེམས་	precious mind	The enlightened attitude or bodhicitta
བསོད་ནམས་	merit	Positive karma or spiritual benefit
གཞལ་	measure	To quantify or assess
ཕན་པར་བསམས་པ	Intending to benefit	The act of thinking about or planning to help others
སངས་རྒྱས་མཆོད	Revering the Buddha	Showing deep respect or worship towards the Buddha
ཁྱད་འཕགས	Greater	Superior or more significant
སེམས་ཅན	Beings	Living creatures or sentient entities
བདེ་དོན	Happiness	Well-being or state of contentment
བརྩོན་པ	Striving	Making great efforts to achieve something
སྡུག་བསྔལ་	suffering	Physical or mental pain and distress
བདེ་བ་	happiness	A state of well-being and contentment
གཏི་མུག་པས་	deluded	Being misled or having false beliefs
དགྲ་	foe	An enemy or opponent
བདེ་བ	happiness	A state of contentment, joy, or well-being
སྡུག་བསྔལ	suffering	Physical or mental pain, distress, or hardship
ཕོངས་པ	deprived	Lacking or being denied something considered important
ཚིམ་པ	satisfy	To fulfill the desires, expectations, or needs of someone
གཅོད	sever	To cut off or separate, in this context to end or remove
གཏི་མུག་	delusion	A state of being deluded or misled
དགེ་མཚུངས་	such good	Equivalent or comparable virtue or goodness
བཤེས་	friend	A person with whom one has a bond of mutual affection
བསོད་ནམས་	merit	The quality of being particularly good or worthy
ཕན་བཏགས་ལན་ལོན	reciprocate a kind deed	To return a favor or act of kindness
བསྔགས་འོས	praiseworthy	Deserving praise or commendation
རེ་ཞིག	for a short while	For a brief period of time
མ་བཅོལ	unsolicited	Not asked for; given or done voluntarily
བྱང་ཆུབ་སེམས་དཔའ	bodhisattva	A person who seeks enlightenment not only for themselves but also for others in Mahayana Buddhism
སྨོས་ཅི་དགོས	what need to speak of	An expression indicating that something is even more obvious or significant than what was previously mentioned
འགྲོ་བ་	beings	Living creatures or sentient beings
ཉུང་ཟད་	a few	A small number or amount
ནར་མའི་ཟས་	regular meals	Ordinary or common food eaten regularly
སྦྱོར་བ་	provide	To supply or make available
སྐད་ཅིག་	short time	A brief moment or instant
ཟས་	food	Nourishment consumed for sustenance
སྦྱིན་པ་	donate	To give or contribute
བརྙས་བཅས་	scornfully	With contempt or disdain
ཉིན་ཕྱེད་	half a day	Half of a day's duration
འདྲངས་པ་	satisfy	To fulfill or meet a need
དགེ་བ་	good deed	A virtuous or meritorious action
སྐྱེ་བོ་	people	Human beings in general
བཀུར་	extol	To praise highly or celebrate
སེམས་ཅན་	beings	Living creatures or sentient beings
བདེ་བར་གཤེགས་	sugata	An epithet for Buddha, meaning "one who has gone to bliss"
བདེ་བ་བླ་ན་མེད་	unsurpassed happiness	The highest form of happiness or bliss
ཡིད་ལ་བསམ་པ་	thoughts in mind	Mental contemplations or desires
རྟག་ཏུ་སྦྱིན་པ་	always give	Constant or perpetual giving or generosity
རྒྱལ་སྲས་	offspring of the victors	A term referring to bodhisattvas or spiritual heirs of the Buddha
སྦྱིན་བདག་	patron	A person who provides support or sponsorship
ངན་སེམས་	malicious thought	A harmful or evil intention
བསྐལ་པ་	aeon	An extremely long period of time in Buddhist cosmology
དམྱལ་བ་	hell	A realm of extreme suffering in Buddhist cosmology
ཐུབ་པ་	the Sage	An epithet for the Buddha, meaning "the Able One" or "the Capable One"
རྒྱལ་སྲས་	bodhisattva	A person who seeks enlightenment not only for themselves but for all sentient beings
དགེ་བ་	good	Virtuous or positive actions or qualities
སྡིག་པ་	misdeed	Negative or harmful actions
ཡིད་རབ་དང་	feeling faith	Having a strong belief or trust
འབྲས་བུ་	result	The consequence or outcome of an action
སེམས་ཀྱི་དམ་པ་རིན་ཆེན	sublime precious attitude	A highly valued and noble state of mind
སྐུ	body	The physical form, especially of an enlightened being
ཕྱག་འཚལ	prostrate	To bow down in reverence or worship
གནོད་པ	harm	To cause damage or injury
བདེ་འབྲེལ	lead to happiness	To result in a state of joy or contentment
བདེ་བའི་འབྱུང་གནས	wellsprings of joy	Sources or origins of happiness
སྐྱབས་སུ་མཆི	go for refuge	To seek protection or shelter in something or someone
རིན་ཆེན་སེམས	precious attitude	The valuable mindset or mental state
དེ་བཞིན་གཤེགས་པ	tathagata	An epithet for a Buddha, meaning "one who has thus gone" or "one who has thus come"
དམ་པའི་ཆོས	true dharma	The authentic teachings of Buddhism
དཀོན་མཆོག་དྲི་མ་མེད	immaculate jewel	A pure and precious object or concept in Buddhism
སངས་རྒྱས་སྲས	bodhisattva	A being who seeks enlightenment not only for themselves but for all sentient beings
ཡོན་ཏན་རྒྱ་མཚོ	oceans of qualities	Vast amounts of positive attributes or virtues
མཆོད	offering	An act of presenting something as a religious or respectful gesture
མེ་ཏོག	me tog	flower
འབྲས་བུ	'bras bu	fruit
སྨན	sman	medicine
འཇིག་རྟེན	'jig rten	world
རིན་ཆེན	rin chen	jewel
ཆུ་གཙང	chu gtsang	clean water
ཡིད་དུ་འོང་བ	yid du 'ong ba	pleasant, delightful
རིན་ཆེན་རི་བོ	Mountains of jewels	Precious or valuable mountains
ནགས་ཚལ	Forest groves	Areas of woodland or trees
ས་ཕྱོགས་དབེན་ཞིང་ཉམས་དགའ	Solitary and delightful places	Isolated locations that are pleasant or enjoyable
ལྗོན་ཤིང་	Trees	Woody perennial plants
མེ་ཏོག་རྒྱན་སྤྲས	Ornamental flowers	Decorative blossoms used as adornments
འབྲས་བཟང་	Splendid fruit	High-quality or excellent fruits
ཡལ་ག་དུད་པ	Branches that bow	Tree limbs that bend downward
ལྷ་སོགས་འཇིག་རྟེན	Divine worlds	Realms inhabited by celestial beings or deities
དྲི	Incense	Aromatic substance that releases fragrant smoke when burned
སྤོས	Perfumes	Fragrant liquids typically used to give a pleasant scent
དཔག་བསམ་ཤིང་	Wish-fulfilling trees	Mythical trees that can grant wishes
རིན་ཆེན་ཤིང་	Jewel trees	Trees adorned with or made of precious gems
མ་རྨོས་འཁྲུངས་པའི་ལོ་ཏོག	Crops that grow without need to be plowed	Spontaneously growing crops without cultivation
མཆོད་པར་འོས་པའི་རྒྱན	Ornaments fit to be offered	Decorative items suitable for religious offerings
མཚོ་	Lake	A large body of water surrounded by land
རྫིང་བུ་	Pool	A small body of still water
པདྨ་	Lotus	An aquatic plant with large, showy flowers
ངང་པ་	Swan	A large waterbird with a long neck
ནམ་མཁའ་	Sky/Space	The expanse above the earth's surface
ཁམས་	Realm	A kingdom or sphere of activity
ཡོངས་སུ་གཟུང་བ་མེད་པ་	Unowned	Not belonging to or claimed by anyone
བློ་ཡིས་བླངས་ནས	Imagining	Mentally conceiving or visualizing
ཐུབ་པ	Sage	A person of profound wisdom
སྐྱེས་ཀྱི་མཆོག	Greatest of beings	Supreme or highest among living beings
སྲས	Offspring	Children or descendants
ཡོན་གནས་དམ་པ	Sublime recipients	Noble or exalted objects of offering
ཐུགས་རྗེ་ཆེ	Greatly compassionate	Having great empathy or kindness
བརྩེར་དགོངས	Think lovingly	To consider with affection or care
བཞེས	Accept	To receive or take what is offered
བསོད་ནམས་	merit	positive karma or good fortune accumulated through virtuous actions
བཀྲེན་ཆེན་	destitute	extremely poor or lacking resources
མཆོད་པའི་ནོར་	wealth for offering	possessions or resources used for making religious offerings
གཞན་དོན་	others' welfare	the benefit or well-being of other beings
མགོན་	protector	a guardian or protective figure, often referring to enlightened beings
མཐུས་	power	strength or ability, often referring to spiritual or supernatural power
བཞེས་	accept	to receive or take, often used in respectful language
རྒྱལ་	Victorious Ones	Epithet for Buddhas
སྲས་	offspring	Spiritual heirs or disciples of the Buddha
སེམས་དཔའ་མཆོག་	supreme beings	Refers to highly realized bodhisattvas
འབངས་	servant	One who serves or is devoted to another
བདག་	I/me	First-person singular pronoun
ཁྱེད་	you	Second-person pronoun (honorific)
སེམས་ཅན་	beings	Sentient beings
སྡིག་ལས་	misdeeds	Negative or harmful actions
སྡིག་པ་	wrong	Negative or harmful action
སྲིད་	existence	The state of being or existing
ཁྲུས་ཀྱི་ཁང་པ	house for bathing	A building or room used for bathing
ཤེལ་གྱི་ས་གཞི	crystal floors	Floors made of or paved with crystal
རིན་ཆེན་འབར་བའི་ཀ་བ	pillars aglow with jewels	Columns or pillars adorned with glowing precious stones
མུ་ཏིག་འོད་ཆགས་བླ་རེ	glistening pearl canopies	Overhead coverings made of shining pearls
དེ་བཞིན་གཤེགས་	Tathagata	An epithet for a Buddha, meaning "one who has thus gone" or "one who has thus come"
སྲས་	Son	In this context, refers to the spiritual heirs or disciples of the Buddha
རིན་ཆེན་བུམ་པ་	Precious vase	A container made of valuable materials used in rituals or offerings
སྤོས་ཀྱི་ཆུ་	Fragrant water	Water infused with aromatic substances for ritual purposes
སྐུ་ཁྲུས་	Bath (honorific)	The act of bathing, used here in a respectful form for sacred beings
གླུ་	Song	Vocal music
རོལ་མོ་	Music	Instrumental music or musical instruments
སྐུ་	body	The physical form of a buddha or bodhisattva
གོས་	cloth	A piece of fabric or material used for clothing or drying
དྲི་	scent	A distinctive smell or fragrance
སྐུ་ཕྱི་	dry the body	To remove moisture from the body after bathing
ན་བཟའ་	robe	A long, loose outer garment worn by Buddhist practitioners
ཁ་དོག་	color	The property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light
དྲི་ཞིམ་	perfume	A fragrant liquid typically made from essential oils extracted from flowers and spices
གོས་བཟང་	fine cloths	High-quality fabrics or garments
སྲབ་ལ་འཇམ་པ	delicate and soft	Describing the texture of the cloths as thin and smooth
རྒྱན་མཆོག	excellent ornaments	Superior decorative items or jewelry
བརྒྱ་ཕྲག	hundreds	Numerical term indicating a large quantity
འཕགས་པ་ཀུན་དུ་བཟང་	Samantabhadra	A bodhisattva representing the practice and meditation of all Buddhas
འཇམ་དབྱངས་	Manjushri	The bodhisattva of wisdom in Mahayana Buddhism
འཇིག་རྟེན་དབང་ཕྱུག	Lokeshvara	Another name for Avalokiteshvara, the bodhisattva of compassion
བརྒྱན་པར་བགྱི	adorn	To decorate or embellish
སྟོང་གསུམ་	billion worlds	A Buddhist cosmological term referring to a vast number of world systems
ཐུབ་དབང་	Lords of Sages	An epithet for Buddhas or enlightened beings
སྐུ་	body	The physical form or body, often referring to the body of a Buddha
གསེར་སྦྱངས་བཙོ་མ་	purest refined gold	Gold that has been purified and refined to its highest quality
འོད་ཆགས་འབར་བ་	radiant	Shining brightly or brilliantly
བྱུག་པར་བགྱི་	apply	To spread or put on (in this context, applying scents)
ཐུབ་དབང་	Lord of Sages	An epithet for Buddha Shakyamuni
མཆོད་གནས་མཆོག	supreme object of worship	The highest or most excellent focus of veneration
མེ་ཏོག་མནྡ་ར	mandarava	A celestial flower in Buddhist tradition
པདྨ	lotus	An aquatic flower with spiritual significance in Buddhism
ཨུཏྤལ	utpala	A type of blue lotus flower
དྲི་ཞིམ	fragrant scents	Pleasant aromas or perfumes
ཕྲེང་བ	garlands	Wreaths or chains of flowers
སྤེལ་ལེགས	beautifully arranged	Well-organized or artfully composed
ཡིད་འོང་	pleasing/attractive	Appealing or delightful to the mind
སྤོས་མཆོག	supreme incense	The finest quality of incense
ཡིད་འཕྲོག	enchanting	Captivating or delightful to the mind
དྲི་ངད	fragrance	A pleasant or sweet smell
བདུག་པ	incense	Aromatic material that releases fragrant smoke when burned
སྤྲིན་ཚོགས	clouds	A mass of particles suspended in the air
ཞལ་ཟས	divine food	Food offered to deities or highly respected beings
བཟའ་བཏུང	food and drink	Edible and potable substances
ལྷ་བཤོས	divine food offering	A ritual food offering to deities
གསེར་གྱི་པདྨ	golden lotus	A lotus flower made of or appearing as gold
རིན་ཆེན་སྒྲོན་མ	jeweled lamp	A lamp adorned with precious stones or gems
ས་གཞི་བསྟར་བ	paved floor	A floor covered with tiles or stones in a regular pattern
སྤོས	perfume	A fragrant liquid typically made from essential oils
མེ་ཏོག་ཡིད་འོང	attractive flower	A flower that is pleasing to the eye
སིལ་མ	petal	The colorful part of a flower that surrounds the reproductive organs
གཞལ་མེད་ཕོ་བྲང་	Numberless palaces	Countless or immeasurable divine abodes or celestial mansions
བསྟོད་དབྱངས་	Songs of praise	Melodious hymns or chants of adoration
མུ་ཏིག་	Pearls	Small, hard, lustrous spherical objects produced by mollusks
རིན་ཆེན་	Jewels	Precious stones or gems
དཔག་ཡས་	Numberless	Countless or immeasurable
ནམ་མཁའི་རྒྱན་	Adorning the sky	Decorating or embellishing the heavens
ཐུགས་རྗེའི་རང་བཞིན་ཅན་	Those who are compassionate	Beings characterized by their inherent nature of compassion
དབུལ་བར་བགྱི	I offer	To present or give as an offering or gift
རིན་ཆེན་གདུགས	jeweled parasols	Ornate umbrellas made with precious materials
གསེར་གྱི་ཡུ་བ	golden staves	The handle or shaft of the parasol made of gold
ཁོར་ཡུག་རྒྱན	rims festooned with ornaments	The edges of the parasol decorated with ornamental designs
ཐུབ་དབང	lords of sages	An epithet for enlightened beings or Buddhas
དབུལ་བར་བགྱི	offer	To present or give as an offering or gift
མཆོད་པའི་ཚོགས།	Clouds of offerings	Vast array of offerings visualized as clouds
རོལ་མོ་དབྱངས་སྙན	Lovely tunes and harmonies	Pleasant musical sounds and melodies
སེམས་ཅན	Beings	Living creatures, sentient beings
སྔག་བསྔལ	Sufferings	Pain, distress, or hardship experienced by beings
སྤྲིན་རྣམས	Clouds	Masses of water vapor in the atmosphere, used metaphorically for offerings
དམ་ཆོས་དཀོན་མཆོག	jewels of the true dharma	The precious teachings of Buddhism
མཆོད་རྟེན	stupa	A Buddhist monument typically containing relics
སྐུ་གཟུགས	likeness	An image or representation, typically of a Buddha or deity
རིན་ཆེན	gems	Precious stones or jewels
མེ་ཏོག	flowers	Blossoms or blooms
རྒྱུན་མི་འཆད་པར	continuously	Without interruption or cessation
འབབ་པ	shower down	To fall or descend like rain
འཇམ་དབྱངས་	Manjughosha	The bodhisattva of wisdom in Mahayana Buddhism
རྒྱལ་བ་	Victorious ones	An epithet for Buddhas
དེ་བཞིན་གཤེགས་	Tathagatas	Another epithet for Buddhas, meaning "thus-gone" or "thus-come"
མགོན་པོ་	Protectors	Referring to Buddhas as guardians or protectors
སྲས་	Offspring	Referring to the spiritual children or disciples of the Buddhas
ཡོན་ཏན་རྒྱ་མཚོ་	Ocean of qualities	A metaphorical expression for vast and profound virtues or attributes
བསྟོད་དབྱངས་	Hymn of praise	A song or poem of praise, typically religious in nature
ཡན་ལག་	Melody	A sequence of notes producing a distinctive sound
སྙན་སྤྲིན་	Cloud of hymns	A poetic metaphor for an abundance of praises or songs
ངེས་པར་	Continuously	Without interruption or cessation
ཀུན་དུ་འབྱུང་	Arise	To come into existence or prominence
དུས་གསུམ་	three times	Past, present, and future
སངས་རྒྱས་	buddha	An enlightened being
ཆོས་	dharma	The teachings of the Buddha
ཚོགས་	sangha	The community of Buddhist practitioners
ཞིང་རྡུལ་	atoms in realms	Particles in Buddhist cosmology
ཕྱག་འཚལ་	prostrate	To bow down in reverence
བྱང་ཆུབ་སེམས་	Bodhisattva	A person who seeks enlightenment for the benefit of all beings
མཆོད་རྟེན་	Stupa	A Buddhist monument typically containing relics
ཕྱག་འཚལ་	Prostrate	To bow down in reverence or worship
མཁན་པོ་	Abbot	The head of a Buddhist monastery
སློབ་དཔོན་	Master	A teacher or spiritual guide in Buddhism
བརྟུལ་ཞུགས་མཆོག་	Supreme adept	A highly accomplished practitioner of Buddhist practices
བྱང་ཆུབ་སྙིང་པོ	enlightenment's essence	The core or ultimate state of enlightenment
སངས་རྒྱས	buddhas	Fully enlightened beings in Buddhism
སྐྱབས་སུ་མཆི	go for refuge	To seek protection or guidance in Buddhism
ཆོས	dharma	The teachings of Buddha or ultimate truth
བྱང་ཆུབ་སེམས་དཔའ	bodhisattvas	Beings who seek enlightenment for the benefit of all sentient beings
ཚོགས	sangha	The community of Buddhist practitioners
ཕྱོགས་རྣམས་ཀུན	every direction	All points of the compass or all areas
རྫོགས་སངས་རྒྱས	perfect buddhas	Fully enlightened beings in Buddhism
བྱང་ཆུབ་སེམས	bodhisattvas	Beings who seek enlightenment to help others in Buddhism
ཐུགས་རྗེ་ཆེན་པོ	great compassion	Profound empathy and wish to relieve suffering
ཐལ་མོ་སྦྱར	join my palms	A gesture of respect with hands pressed together
གསོལ་བ	supplicate	To humbly ask or petition
ཐོག་མ་མེད་ལྡན་འཁོར་བ	beginningless samsara	The endless cycle of rebirth in Buddhist philosophy, without a discernible beginning
ཚེ་རབས	lives	Different incarnations or lifetimes in the cycle of rebirth
སྡིག	misdeeds	Negative or harmful actions that generate bad karma
བགྱིད་དུ་སྩལ་བ	caused to commit	To make or allow others to perform actions
གཏི་མུག	Ignorance	Lack of knowledge or awareness
འཁྲུལ་པ	Delusion	A false belief or impression
རྗེས་སུ་ཡིད་རངས	Rejoice	To feel or show great joy or delight
ནོངས་པ	Mistake	An action or judgment that is misguided or wrong
མཐོང་	See	To perceive with the eyes
བསམ་པ་ཐག་པ	From the depths of one's heart	With complete sincerity or feeling
མགོན	Protector	One who protects or guards
བཤགས	Confess	To acknowledge or admit to wrongdoing
དཀོན་མཆོག་གསུམ་	Three Jewels	The Buddha, Dharma, and Sangha in Buddhism
ཉོན་མོངས་	afflictions	Mental states that cloud the mind and manifest in unwholesome actions
ལུས་ངག་	body and speech	Physical and verbal actions
ཡིད་	mind	Mental faculty or consciousness
བླ་མ་	guru	Spiritual teacher or master in Tibetan Buddhism
ཉེས་པ་	failings	mistakes or faults
སྡིག་ཅན་	wicked	morally wrong or evil
སྡིག་པ་	misdeeds	wicked or illegal acts
མི་བཟད་	terrible	extremely bad or serious
འདྲེན་པ་	guides	spiritual leaders or teachers
བཤགས་	confess	admit or acknowledge (something wrong)
སྡིག་པ	misdeed	A wrongful or wicked act
བྱང་བ	cleansed	Purified or freed from impurities
འགུམ་པ	perish	To die or cease to exist
ཐར་བ	liberated	Set free or released from bondage
བསྐྱབ	rescue	To save from danger or distress
འཆི་བདག	Lord of Death	A personification of death in Tibetan Buddhism
ཡིད་བརྟན་མི་རུང་	untrustworthy	Not able to be relied on
བྱས་དང་མ་བྱས་	what's done or undone	Actions that have been completed or not completed
ན་དང་མི་ན	whether or not they're ill	Referring to both sick and healthy people
