བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །	I prostrate with respect to the sugatas, Who have the dharmakaya, and their offspring, And also to all worthy of veneration. I'll teach in brief, according to the scriptures, The way to enter the bodhisattva's vows.

Glossary:
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ། །མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ། །རིན་ཆེན་རིང་ཐང་མེད་པར་བསྒྱུར་བས་ན། །བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང་། །	Just like the greatest kind of alchemy, It takes this unclean body and transforms it Into a priceless jewel, a buddha's body. So firmly grasp ahold of bodhichitta.

Glossary:
གསེར་འགྱུར་རྩི	alchemy	The medieval forerunner of chemistry, concerned with the transmutation of matter
མི་གཙང་ལུས	unclean body	The impure physical form in Buddhist philosophy
རྒྱལ་བའི་སྐུ	buddha's body	The enlightened physical form of a Buddha
རིན་ཆེན	jewel	A precious stone or gem
བྱང་ཆུབ་སེམས	bodhichitta	The compassionate wish to attain enlightenment for the benefit of all sentient beings in Buddhism
----------------------------------------------------------------------------------------------------
འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས། །ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས། །འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས། །རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་། །	Examined well by the sole leader of beings with his immeasurable mind, it has great value. So you who wish to leave the places of beings, firmly grasp hold of precious bodhichitta.

Glossary:
འགྲོ་བའི་དེད་དཔོན་	leader of beings	A guide or spiritual leader for sentient beings
ཚད་མེད་བློས་	immeasurable mind	A mind of boundless wisdom or understanding
རིན་ཆེན་	precious	Of great value or worth
བྱང་ཆུབ་སེམས་	bodhichitta	The enlightened mind or the aspiration to attain enlightenment for the benefit of all beings
བརྟན་པར་ཟུང་	firmly grasp hold	To maintain a strong and unwavering grip or commitment
----------------------------------------------------------------------------------------------------
དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི། །འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད། །བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། །འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར། །	All other virtues, like banana trees, Are spent once they have produced a result. The tree of bodhichitta constantly Bears fruit, thus thriving inexhaustibly.

Glossary:
དགེ་བ་	virtue	A moral excellence or positive quality
ཆུ་ཤིང་	banana tree	A tropical plant that produces bananas
འབྲས་བུ་	fruit, result	The outcome or consequence of an action
བྱང་ཆུབ་སེམས་	bodhichitta	The enlightened mind or the aspiration to attain enlightenment for the benefit of all beings
ལྗོན་ཤིང་	tree	A perennial plant with an elongated stem, or trunk, supporting branches and leaves
མི་ཟད་	inexhaustible	Never-ending or unable to be used up
འཕེལ་བ	thrive, increase	To grow or develop well and vigorously
----------------------------------------------------------------------------------------------------
སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་། །དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར། །གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན། །	Even if one has committed terrible misdeeds, why would the careful not rely on that which liberates them in a single instant, just as those in great danger rely on heroes?

Glossary:
སྡིག་པ་	misdeeds	Negative or harmful actions
དཔའ་	hero	A person admired for their courage or noble qualities
བརྟེན་	rely	To depend on or trust in something or someone
འཇིགས་པ་	danger	A situation that poses a threat or risk
སྒྲོལ་	liberate	To set free or release from bondage
བག་ཅན་	careful	Cautious and attentive in one's actions
----------------------------------------------------------------------------------------------------
དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས། །སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད། །དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག །བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟངས་བཤད། །	Like the inferno at an age's end, it burns up great misdeeds in a single instant. The wise protector Maitreya explained its countless benefits to Sudhana.

Glossary:
དུས་མཐའི་མེ	inferno at an age's end	A destructive fire that occurs at the end of a cosmic cycle
སྡིག་ཆེན	great misdeeds	Serious negative actions or sins
སྐད་ཅིག་གཅིག	single instant	A moment or very brief period of time
ཕན་ཡོན	benefits	Advantages or positive outcomes
བྱམས་མགོན	Maitreya	The future Buddha of loving-kindness in Buddhist tradition
ནོར་བཟངས	Sudhana	A spiritual seeker in Buddhist literature, often associated with the Avatamsaka Sutra
----------------------------------------------------------------------------------------------------
བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན། །རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ། །བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི། །བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ། །	To summarize, it's understood there are two types of bodhichitta: The mind aspiring for awakening and engagement in awakening.

Glossary:
བྱང་ཆུབ་སེམས་	Bodhichitta	The mind of enlightenment or awakening in Buddhism
བྱང་ཆུབ་སྨོན་པའི་སེམས་	Aspirational bodhichitta	The wish or aspiration to attain enlightenment for the benefit of all beings
བྱང་ཆུབ་འཇུག་པ་	Engaged bodhichitta	The actual practice or engagement in the path to enlightenment
----------------------------------------------------------------------------------------------------
འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །	Just as they know the difference between the wish to go and going, the wise should understand the contrast between these two, respectively.

Glossary:
འགྲོ་བར་འདོད	wish to go	The desire or intention to travel or move
འགྲོ་བ	going	The act of traveling or moving
བྱེ་བྲག	difference/contrast	A distinction or dissimilarity between two things
མཁས་པ	wise	Having or showing experience, knowledge, and good judgment
ཤེས་པ	know/understand	To be aware of or comprehend something
----------------------------------------------------------------------------------------------------
བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི། །འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་། །ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ། །བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན། །	Even in samsara, great results come from aspiring bodhichitta. However, unlike engaged bodhichitta, the merit is not continuous.

Glossary:
བྱང་ཆུབ་སྨོན་པའི་སེམས་	aspiring bodhichitta	The wish to attain enlightenment for the benefit of all beings
འཁོར་ཚེ་	samsara	The cycle of rebirth and suffering in Buddhist philosophy
འབྲས་བུ་	results	Consequences or outcomes of actions
འཇུག་པའི་སེམས་	engaged bodhichitta	The active practice of working towards enlightenment for the benefit of all beings
བསོད་ནམས་	merit	Positive karma or spiritual credit gained through good deeds
རྒྱུན་ཆགས་	continuous	Uninterrupted or ongoing
----------------------------------------------------------------------------------------------------
གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས། །མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར། །མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ། །སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ། །	From the moment when, for the sake of freeing beings in infinite realms, you truly take up this intent with irreversible resolve,

Glossary:
སེམས་ཅན་ཁམས	realms of beings	The various states or planes of existence where sentient beings reside
མཐའ་ཡས	infinite	Without limit or end
དགྲོལ་བ	freeing/liberating	To release or set free from bondage or suffering
མི་ལྡོག་པ	irreversible	Not capable of being reversed or turned back
སེམས	mind/intent	The faculty of consciousness, thought, and feeling
ཡང་དག	truly/genuinely	In a real or authentic manner
བླངས	take up/adopt	To accept or assume responsibility for something
----------------------------------------------------------------------------------------------------
དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ། །བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས། །རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག །ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་། །	From this moment on, even when asleep or careless, the force of merit flows forth unceasing, in many streams, equal to the sky.

Glossary:
དེང་ནས་བཟུང་སྟེ	From this moment on	Starting from the present time
གཉིད་ལོག	asleep	In a state of sleep
བག་མེད	careless	Lacking caution or thoughtfulness
བསོད་ནམས་ཤུགས	force of merit	The power or strength of positive karma
རྒྱུན་མི་འཆད་པར	unceasing	Continuous, without interruption
ནམ་མཁའ་མཉམ་པར	equal to the sky	As vast or limitless as the sky
རབ་ཏུ་འབྱུང	flows forth	Emerges or arises abundantly
----------------------------------------------------------------------------------------------------
འདི་ནི་འཐད་པ་དང་བཅས་པར། །ལག་བཟང་གིས་ནི་ཞུས་པ་ལས། །དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས། །	The Tathagata himself explained this and its reasons for the sake of beings inclined to the Foundation in the Sutra Requested by Subahu.

Glossary:
འཐད་པ་དང་བཅས་པར	with reasons	accompanied by logical explanations or justifications
ལག་བཟང	Subahu	name of a bodhisattva who requested teachings from the Buddha
དམན་མོས་སེམས་ཅན	beings inclined to the Foundation	sentient beings with lesser inclinations or aspirations
དེ་བཞིན་གཤེགས་པ	Tathagata	epithet for the Buddha, meaning "one who has thus gone" or "thus come"
ཞུས་པ	requested	asked for or solicited (teachings)
----------------------------------------------------------------------------------------------------
སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ། །བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་། །ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ། །བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན། །	If someone who benevolently intends to merely eliminate sharp pains in sentient beings' heads possesses immeasurable merit,

Glossary:
སེམས་ཅན་	sentient beings	Living creatures capable of perception and feeling
ཀླད་ནད་	head pain	Pain or ailment affecting the head or brain
བསལ་	eliminate	To remove or get rid of something
ཕན་འདོགས་	benevolent	Kind and helpful
བསམ་པ་	intention	A mental state that represents a commitment to carrying out an action
བསོད་ནམས་	merit	Positive karma or spiritual credit gained through good deeds
དཔག་མེད་	immeasurable	Too large, extensive, or extreme to measure
----------------------------------------------------------------------------------------------------
སེམས་ཅན་རེ་རེའི་མི་བདེ་བ། །དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་། །རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ། །བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས། །	Wishing to eliminate the immeasurable sufferings of each sentient being, and desiring to establish each one in boundless qualities - what need is there to speak of this?

Glossary:
སེམས་ཅན་	sentient being	A living creature capable of perception and feeling
མི་བདེ་བ་	suffering	Physical or mental pain or distress
དཔག་ཏུ་མེད་པ་	immeasurable	Too vast or numerous to be counted or measured
བསལ་	eliminate	To remove or get rid of completely
ཡོན་ཏན་	qualities	Characteristics or features, typically good ones
བསྒྲུབ་པ་	establish	To set up or bring about on a firm or permanent basis
སྨོས་ཅི་དགོས་	what need to speak of	An expression indicating that something is so obvious it doesn't need to be mentioned
----------------------------------------------------------------------------------------------------
ཕའམ་ཡང་ན་མ་ཡང་རུང་། །སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་། །ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ། །	Who has such altruism as this? Does even a father or a mother? Or do the gods or else the rishis? Do even Brahmas harbor this?

Glossary:
ཕ	father	male parent
མ	mother	female parent
ཕན་སེམས	altruism	selfless concern for the well-being of others
ལྷ	gods	divine or supernatural beings
དྲང་སྲོང་	rishis	sages or seers in ancient Indian tradition
ཚངས་པ	Brahma	a creator god in Hinduism and Buddhism
----------------------------------------------------------------------------------------------------
སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན། །རང་གི་དོན་དུ་འདི་འདྲའི་སེམས། །རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན། །གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ། །	If sentient beings themselves have never had such a wish as this before even for their own sake in dreams, how could they have it for another?

Glossary:
སེམས་ཅན་	Sentient beings	Living creatures capable of perception and feeling
རྨི་ལམ་	Dream	A series of thoughts, images, and sensations occurring in a person's mind during sleep
གཞན་	Other	A person or thing that is different or distinct from one already mentioned
དོན་དུ་	For the sake of	With the purpose or intention of benefiting someone or something
----------------------------------------------------------------------------------------------------
གཞན་དག་རང་གི་དོན་དུ་ཡང་། །མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་། །སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི། །སྔ་ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས། །	The wish to benefit beings that others have never had even for their own sake - this special jewel of mind - is born, a wonder without precedent.

Glossary:
སེམས་ཅན་	sentient beings	Living creatures capable of perception and feeling
དོན་སེམས་	wish to benefit	The intention or desire to help or do good for others
སེམས་ཀྱི་རིན་ཆེན་	jewel of mind	A precious or valuable mental state or attitude
ཁྱད་པར་	special	Distinct, unique, or exceptional
སྔ་ན་མེད་པའི་	without precedent	Something that has never occurred or existed before
རྨད་	wonder	Something remarkable or extraordinary
----------------------------------------------------------------------------------------------------
འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ། །སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ། །རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་། །དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་། །	The cause of every wanderer's joy, The cure for beings' suffering, How could one take the measure of The merit of this precious mind?

Glossary:
འགྲོ་བ་	wanderer	A being who wanders in the cycle of existence
སེམས་ཅན་	beings	Sentient creatures
སྡུག་བསྔལ་	suffering	Pain, distress, or hardship
རིན་ཆེན་སེམས་	precious mind	The enlightened attitude or bodhicitta
བསོད་ནམས་	merit	Positive karma or spiritual benefit
གཞལ་	measure	To quantify or assess
----------------------------------------------------------------------------------------------------
ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་། །སངས་རྒྱས་མཆོད་ལས་ཁྱད་འཕགས་ན། །སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི། །བདེ་དོན་བརྩོན་པ་སྨོས་ཅི་དགོས། །	If merely intending to benefit Is greater than revering the Buddha, What need to speak of striving for The sake of all beings' happiness?

Glossary:
ཕན་པར་བསམས་པ	Intending to benefit	The act of thinking about or planning to help others
སངས་རྒྱས་མཆོད	Revering the Buddha	Showing deep respect or worship towards the Buddha
ཁྱད་འཕགས	Greater	Superior or more significant
སེམས་ཅན	Beings	Living creatures or sentient entities
བདེ་དོན	Happiness	Well-being or state of contentment
བརྩོན་པ	Striving	Making great efforts to achieve something
----------------------------------------------------------------------------------------------------
སྡུག་བསྔལ་འདོར་འདོད་སེམས་ཡོད་ཀྱང་། །སྡུག་བསྔལ་ཉིད་ལ་མངོན་པར་རྒྱུག །བདེ་བ་འདོད་ཀྱང་གཏི་མུག་པས། །རང་གི་བདེ་བ་དགྲ་ལྟར་འཇོམས། །	They wish to cast off suffering but rush toward suffering itself. They wish for happiness, but deluded, crush their own pleasure like a foe.

Glossary:
སྡུག་བསྔལ་	suffering	Physical or mental pain and distress
བདེ་བ་	happiness	A state of well-being and contentment
གཏི་མུག་པས་	deluded	Being misled or having false beliefs
དགྲ་	foe	An enemy or opponent
----------------------------------------------------------------------------------------------------
གང་ཞིག་བདེ་བས་ཕོངས་པ་དང་། །སྡུག་བསྔལ་མང་ལྡན་དེ་དག་ལ། །བདེ་བ་ཀུན་གྱིས་ཚིམ་པ་དང་། །སྡུག་བསྔལ་ཐམས་ཅད་གཅོད་བྱེད་ཅིང་། །	For those deprived of happiness Who suffer many miseries, This satisfies with every pleasure And severs every suffering.

Glossary:
བདེ་བ	happiness	A state of contentment, joy, or well-being
སྡུག་བསྔལ	suffering	Physical or mental pain, distress, or hardship
ཕོངས་པ	deprived	Lacking or being denied something considered important
ཚིམ་པ	satisfy	To fulfill the desires, expectations, or needs of someone
གཅོད	sever	To cut off or separate, in this context to end or remove
----------------------------------------------------------------------------------------------------
གཏི་མུག་ཀྱང་ནི་སེལ་བྱེད་པ། །དེ་དང་དགེ་མཚུངས་ག་ལ་ཡོད། །དེ་འདྲའི་བཤེས་ཀྱང་ག་ལ་ཡོད། །བསོད་ནམས་དེ་འདྲའང་ག་ལ་ཡོད། །	It also will dispel delusion. How could there be such good as this? How could there be a friend like this? How could there be such merit as this?

Glossary:
གཏི་མུག་	delusion	A state of being deluded or misled
དགེ་མཚུངས་	such good	Equivalent or comparable virtue or goodness
བཤེས་	friend	A person with whom one has a bond of mutual affection
བསོད་ནམས་	merit	The quality of being particularly good or worthy
----------------------------------------------------------------------------------------------------
ཕན་བཏགས་ལན་ལོན་གང་ཡིན་པ། །དེ་ཡང་རེ་ཞིག་བསྔགས་འོས་ན། །མ་བཅོལ་ལེགས་པར་བྱེད་པ་ཡི། །བྱང་ཆུབ་སེམས་དཔའ་སྨོས་ཅི་དགོས། །	If to reciprocate a kind deed Is praiseworthy for a short while, What need to speak of bodhisattvas Who do good unsolicited?

Glossary:
ཕན་བཏགས་ལན་ལོན	reciprocate a kind deed	To return a favor or act of kindness
བསྔགས་འོས	praiseworthy	Deserving praise or commendation
རེ་ཞིག	for a short while	For a brief period of time
མ་བཅོལ	unsolicited	Not asked for; given or done voluntarily
བྱང་ཆུབ་སེམས་དཔའ	bodhisattva	A person who seeks enlightenment not only for themselves but also for others in Mahayana Buddhism
སྨོས་ཅི་དགོས	what need to speak of	An expression indicating that something is even more obvious or significant than what was previously mentioned
----------------------------------------------------------------------------------------------------
འགྲོ་བ་ཉུང་ཟད་ནར་མའི་ཟས་སྦྱོར་བ། །སྐད་ཅིག་ཟས་ཙམ་སྦྱིན་པར་བྱེད་པ་དང་། །བརྙས་བཅས་ཉིན་ཕྱེད་འདྲངས་པར་བྱེད་པ་ཡང་། །དགེ་བ་བྱེད་པ་ཡིན་ཞེས་སྐྱེ་བོས་བཀུར། །	People extol as doing something good Those who provide a few with regular meals, Donating scornfully for a short time Plain food that satisfies for half a day.

Glossary:
འགྲོ་བ་	beings	Living creatures or sentient beings
ཉུང་ཟད་	a few	A small number or amount
ནར་མའི་ཟས་	regular meals	Ordinary or common food eaten regularly
སྦྱོར་བ་	provide	To supply or make available
སྐད་ཅིག་	short time	A brief moment or instant
ཟས་	food	Nourishment consumed for sustenance
སྦྱིན་པ་	donate	To give or contribute
བརྙས་བཅས་	scornfully	With contempt or disdain
