Root,Commentary
སྤྱོད་པ་འདི་འདྲས་གནས་བྱེད་ན། །སྐྱེ་བོ་ངན་པའི་ཁྲོད་གནས་སམ། །བུད་མེད་ཁྲོད་ན་གནས་ཀྱང་རུང་། །སྡོམ་བརྩོན་བརྟན་པ་ཉམས་མི་འགྱུར། །,སྤྱོད་པ་འདི་འདྲས་ཞེས་སྨོས་ཏེ། སེམས་བསྲུངས་པའི་བདག་ཉིད་ཀྱིས་གནས་པར་བྱེད་ནའོ། །སྐྱེ་བོ་ངན་པའི་ཁྲོད་ནི་ཡུལ་ངན་པའི་ཁྲོད་ནའོ། །བརྟན་པ་ནི་བག་ཡོད་པའོ། །ཉམས་པ་ནི་ཞིག་ཅིང་ཉམས་པའོ། །
བདག་གི་རྙེད་དང་བཀུར་སྟི་དང་། །ལུས་དང་འཚོ་བ་མེད་བླ་ཞིང་། །དགེ་བ་གཞན་ཡང་ཉམས་བླ་ཡི། །སེམས་ནི་ནམས་ཀྱང་ཉམས་མི་བྱ། །,གལ་ཏེ་དེ་ལྟ་བུར་གནས་པ་ན། སྤྲོ་ཞིང་འདུད་པ་ལ་སོགས་པའི་རྙེད་པས་ཉམས་པར་འགྱུར་སྙམ་པ་ལ། བདག་གི་ཞེས་སྨོས་ཏེ། བདག་ཇི་ལྟ་བ་འདོད་པ་བཞིན་དུ་རྙེད་པ་ནི་རྙེད་པའོ། །བཀུར་སྟི་ནི་རིམ་གྲོའོ། །ལུས་དང་འཚོ་བ་དང་དགེ་བ་གཞན་ཞེས་པ་ནི་རང་གི་དོན་དུ་བྱེད་པའི་དགེ་བའོ། །
སེམས་བསྲུང་འདོད་པ་རྣམས་ལ་ནི། །དྲན་པ་དང་ནི་ཤེས་བཞིན་དག །ཐམས་ཅད་འབད་པས་སྲུངས་ཤིག་ཅེས། །བདག་ནི་དེ་ལྟར་ཐལ་མོ་སྦྱོར། །,འདི་ལ་གུས་པ་ནན་ཏན་དུ་བསྐྱེད་པར་བྱའོ་ཞེས་གདམས་པའི་ཕྱིར་བསྟན་བཅོས་མཁན་པོས་སེམས་བསྲུང་ཞེས་སྨོས་ཏེ། དམིགས་པའི་དོན་མ་བརྗེད་པ་ནི་དྲན་པའོ། །ཡང་དག་པའི་ཤེས་རབ་ཀྱི་སྒྲ་ལས་གྲུབ་པ་ནི་ཤེས་བཞིན་ཏེ་ཤེས་རབ་པོ། །དེས་བདག་གི་གནས་སྐབས་གང་ཅུག་འདུག་པ་ཤེས་པར་བྱེད་དོ། །ཅིའི་ཕྱིར་ན་དེ་དག་བསྲུང་བར་བྱ་སྙམ་དུ་དོགས་པ་ལ།
ནད་ཀྱིས་དཀྲུགས་པའི་མི་དག་ནི། །ལས་རྣམས་ཀུན་ལ་མཐུ་མེད་པ། །དེ་བཞིན་རྨོངས་པས་སེམས་དཀྲུགས་པ། །ལས་རྣམས་ཀུན་ལ་མཐུ་མེད་དོ། །,ནད་ཀྱིས་ཞེས་སྨོས་ཏེ། རྨོངས་པ་ནི་དྲན་པ་དང་ཤེས་བཞིན་འདི་དག་གཉིས་མ་ཚང་བས་སོ། །ལས་རྣམས་ཀུན་ནི་བསམ་གཏན་ལ་སོགས་པའོ། །
ཤེས་བཞིན་མེད་པའི་སེམས་ལྡན་པའི། །ཐོས་དང་བསམས་དང་བསྒོམས་པ་ཡང་། །གློ་རྡོལ་བུམ་པའི་ཆུ་བཞིན་དུ། །དྲན་པ་ལ་ནི་དེ་མི་གནས། །,དེ་ལྟ་བས་ན་ཤེས་བཞིན་མེད་པའི་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ།
ཐོས་ལྡན་དད་པ་ཅན་དང་ནི། །བརྩོན་པ་ལྷུར་ལེན་དུ་མ་ཡང་། །ཤེས་བཞིན་མེད་པའི་སྐྱོན་ཆགས་པས། །ལྟུང་བའི་རྙོག་དང་བཅས་པར་འགྱུར། །,རྙོག་པ་ནི་དྲི་མའོ། །
ཤེས་བཞིན་མེད་པའི་ཆོམ་རྐུན་དག །དྲན་པ་ཉམས་པའི་རྗེས་འབྲང་བས། །བསོད་ནམས་དག་ནི་ཉེར་བསགས་ཀྱང་། །རྐུན་པོས་ཕྲོགས་བཞིན་ངན་འགྲོར་འགྲོ། །,ཤེས་བཞིན་མེད་པ་ཉིད་རྐུན་པོ་སྟེ་དགེ་བའི་ནོར་འཕྲོག་པའི་ཕྱིར་རོ། །དྲན་པ་ཉམས་པ་སྟེ་ཞིག་པའི་ཚུལ་དང་གང་ལྡན་པ་དེ་ལ་དེ་སྐད་ཅེས་བྱའོ། །ཉེ་བར་བསགས་པ་ནི་ཕུང་པོར་བྱས་པའོ། །
ཉོན་མོངས་ཆོམ་རྐུན་ཚོགས་འདི་ནི། །གླགས་སྐབས་ཚོལ་བར་བྱེད་པ་སྟེ། །གླགས་རྙེད་གྱུར་ནས་དགེ་འཕྲོག་ཅིང་། །བདེ་འགྲོའི་སྲོག་ཀྱང་འཇོམས་པར་བྱེད། །,འདི་ལྟར་ཉོན་མོངས་པ་ཉིད་ཆོམ་རྐུན་ཏེ་གནོད་པའི་ཚོགས་དེ་དག་གོ། །གླགས་སྐབས་ནི་གླགས་སྐབས་ཉིད་དོ། །དེ་བཞིན་དུ་རྙེད་དམ་ལྟ་བ་ནི་ཚོལ་བའོ། །བདེ་འགྲོའི་སྲོག་འཇོམས་པ་ནི་རྐུ་བའོ། །
དེ་བས་དྲན་པ་ཡིད་སྒོ་ནས། །གུད་དུ་ནམ་ཡང་མི་གཏོང་ངོ་། །སོང་ནའང་ངན་འགྲོ་གནོད་པ་དག །དྲན་པར་བྱས་ཏེ་ཉེ་བར་བཞག །,དྲན་པའི་ཡིད་སྒོ་ནས་ནི་ཡིད་ཁོང་པར་བཅུག་ལ་གཞག་པའོ། །ཡུལ་གྱི་སྟེང་དུ་སོང་ཡང་སླར་བཀུག་སྟེ་འཇོག་པ་ནི་ཉེ་བར་གཞག་པའོ། །ཐབས་ནི་ཇི་ལྟར་ཉེ་བར་གཞག་སྙམ་པ་ལ།
བླ་མ་དང་ནི་འགྲོགས་པ་ལས། །མཁན་པོས་རྗེས་སུ་བརྟན་པ་དང་། །འཇིགས་པས་སྐལ་ལྡན་གུས་བྱེད་ལ། །དྲན་པ་བདེ་བླག་ཉིད་དུ་སྐྱེ། །,བླ་མ་ཞེས་སྨོས་ཏེ་རྗེས་སུ་བསྟན་པ་ནི་བསླབ་པའི་ཚོགས་རྣམས་སོ། །འཇིགས་པ་ནི་མཁན་པོ་ལ་སོགས་པས་འཇིགས་པའོ། །
སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་དག །ཀུན་དུ་ཐོགས་མེད་གཟིགས་པར་ལྡན། །དེ་དག་ཐམས་ཅད་སྤྱན་སྔ་ན། །རྟག་པར་བདག་ནི་གནས་སོ་ཞེས། །,གཞན་ཡང་སངས་རྒྱས་ལ་སོགས་པ་ཀུན་ཏུ་སྟེ། ཤེས་བྱ་མཐའ་དག་ལ་ཐོགས་པ་མེད་ཅིང་བར་དུ་གཅོད་པ་མེད་པའི་གཟིགས་པ་དང་ལྡན་པ་རྣམས་བསམས་ནས་ཏེ།
དེ་ལྟར་བསམས་ནས་ངོ་ཚ་དང་། །གུས་དང་འཇིགས་ལྡན་དེ་བཞིན་གནོས་། །དེས་ན་སངས་རྒྱས་རྗེས་དྲན་པའང་། །དེ་ལ་ཡང་དང་ཡང་དུ་འབྱུང་། །,རྣམ་པར་བལྟས་པ་ལའོ། །གུས་པ་ནི་བསླབ་པ་ལ་སྟེ། སངས་རྒྱས་དང་ཆོས་ལ་དམིགས་པའི་སེམས་ནི་དྲན་པས་དེ་ལས་མི་འདའ་བའོ། །ཚུལ་དང་མི་མཐུན་པའི་ལས་ལ་འཇིགས་པ་དང་བཅས་པ་ངོ་ཚ་ཤེས་པའོ། །
གང་ཚེ་དྲན་པ་ཡིད་སྒོ་ནས། །བསྲུང་བའི་དོན་དུ་གནས་གྱུར་པ། །དེ་ཚེ་ཤེས་བཞིན་འོང་འགྱུར་ཞིང་། །སོང་བ་དག་ཀྱང་འོང་བར་འགྱུར། །,ཤེས་བཞིན་སྐྱེ་བ་དང་གནས་པ་དག་གི་རྒྱུ་ཡང་དྲན་པ་ཉིད་ཡིན་ནོ་ཞེས་བསྟན་པའི་ཕྱིར། གང་ཚེ་དྲན་པ་ཞེས་སྨོས་ཏེ། དེའི་ཚེ་ཞེས་སྨོས་པ་ནི་དྲན་པ་ཡོད་པའི་ཚེའོ། །
རེ་ཞིག་དང་པོ་འདི་འདྲའི་སེམས། །འདི་ནི་སྐྱོན་བཅས་ཤེས་བྱས་ནས། །དེ་ཚེ་བདག་གིས་ཤིང་བཞིན་དུ། །ཟུངས་ཐུབ་པར་ནི་གནས་པར་བྱ། །,བྱ་བར་འོས་པ་རྣམས་འདི་ལྟར་བསླབ་པར་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར། རེ་ཞིག་དང་པོར་ཞེས་བྱ་བ་སྨོས་ཏེ། དང་པོར་ཞེས་པ་ནི་ཐོག་མར་རོ། །འདི་འདྲ་ནི་འདི་འདྲ་བའི་རྣམ་པར་རོ། །གཞག་པ་ནི་མངོན་དུ་བྱ་བའོ། །
དོན་མེད་གཡེང་བར་ལྟ་བ་ནི། །ནམ་ཡང་བདག་གིས་མི་བྱ་སྟེ། །ངེས་པར་སེམས་པས་རྟག་ཏུ་ནི། །མིག་ནི་ཕབ་སྟེ་བལྟ་བར་བྱ། །,དེ་ཉིད་བསྟན་པའི་ཕྱིར། དབང་པོ་དང་བྲལ་བས་ཞེས་སྨོས་ཏེ་དབང་པོ་ལ་མ་ལྟོས་པར་རོ། །མིག་གཞན་དུ་ཡེངས་པ་ནི་དོན་མེད་པར་ཡེངས་པར་ལྟ་བའོ། །ངེས་པར་སེམས་པ་ནི་བསམ་གཏན་བྱེད་པ་ཁོ་ནས་སོ། །
ལྟ་བ་ངལ་བསོའི་ཆེད་དུ་ནི། །རེས་འགའ་ཕྱོགས་སུ་བལྟ་བར་བྱ། །འགའ་ཞིག་མིག་ལམ་སྣང་གྱུར་ན། །བལྟས་ནས་འོངས་པ་ལེགས་ཞེས་བརྗོད། །,ངལ་སོ་བ་ནི་མིག་ཡེངས་པ་སྙམ་བྱེད་པ་མེད་པར་བྱེད་པའོ། །མིག་ལམ་ན་སྟེ་སྣང་བ་ནི་འགའ་ཞིག་འོངས་པའི་གྲིབ་མ་ཙམ་མཐོང་མ་ཐག་ཏུའོ། །
ལམ་སོགས་འཇིགས་པ་བརྟག་པའི་ཕྱིར། །ཡང་དང་ཡང་དུ་ཕྱོགས་བཞིར་ལྟ། །ངལ་བསོས་ཁ་ནི་ཕྱིར་བལྟས་ནས། །རྒྱབ་ཀྱི་ཕྱོགས་སུ་བལྟ་བར་བྱ། །,འཇིགས་པར་བྱེད་པས་འཇིགས་པ་སྟེ་རྐུན་པོ་ཆུང་ངུ་ལ་སོགས་པའོ། །ཕྱོགས་བཞི་ཞེས་པ་ནི་བཞི་པར་མཚུངས་པར་བསྡུས་པའོ། །ཕྱིར་བལྟས་པ་ནི་རྒྱབ་ངོས་ལ་སོགས་སུ་ལོག་ནས་སོ། །
མདུན་དང་རྒྱབ་ཏུ་བརྟག་བྱས་ནས། །འགྲོའམ་ཡང་ན་འོང་བྱ་སྟེ། །དེ་ལྟར་གནས་སྐབས་ཐམས་ཅད་དུ། །དགོས་པ་ཤེས་ནས་སྤྱད་པར་བྱ། །,མདུན་དང་རྒྱབ་ཏུ་བརྟགས་ནས་འགྲོ་བར་བྱའོ། །གནས་སྐབས་ཞེས་པ་ནི་སྤྱོད་ལམ་རྣམ་པ་བཞི་ཆར་གྱི་སྐབས་སུའོ། །ད་ནི་ཤེས་བཞིན་བསྲུང་བར་འདོད་པ་རྣམས་ལ་བསྟན་པའི་ཕྱིར།
ལུས་ཀྱིས་འདི་ལྟར་གནས་བྱ་ཞེས། །བྱ་བ་བསྡོགས་ནས་དེ་ནས་ནི། །སྐབས་སུ་ལུས་འདི་ཇི་ལྟ་བུར། །གནས་པ་ཡིན་ཞེས་བལྟ་བར་བྱ། །,ལུས་ཀྱིས་ཞེས་སྨོས་ཏེ་ཕུང་པོས་སོ། །འདི་ལྟ་སྟེ་སྤྱོད་པ་རྣམ་པ་བཞི་པོ་འདི་ལྟར་རོ། །གནས་པར་བྱ་བ་ནི་བསྡད་པར་བྱ་བའོ། །བྱ་བ་བསྡོགས་ནས་བསམ་གཏན་ལ་སོགས་པའི་བྱ་བ་བརྩམ་ཞིང་སྐབས་སུ་སྟེ་བར་བར་དུ་བལྟ་བར་བྱ་སྟེ་བརྟག་པར་བྱ་བའོ། །
སེམས་ཀྱི་གླང་ཆེན་མྱོས་པ་ནི། །ཆོས་ལ་སེམས་པའི་ཀ་ཆེན་ལ། །ཇི་ལྟར་བཏགས་པ་མི་འཆོར་བར། །དེ་ལྟར་འབད་པ་ཀུན་གྱིས་བརྟག །,སེམས་ལ་བརྟག་པ་བསྟན་པའི་ཕྱིར། །འབད་པ་ཞེས་སྨོས་ཏེ། འཆོར་བར་མི་འགྱུར་བར་འདོགས་པར་ནི་རིགས་པས་སོ། །ཇི་ལྟར་བརྟག་པར་བྱ་སྙམ་པ་ལ།
ཅི་ནས་ཏིང་འཛིན་བརྩོན་པ་ནི། །སྐད་ཅིག་གཅིག་ཀྱང་མི་འཆོར་བར། །བདག་གི་ཡིད་འདི་གར་སྤྱོད་ཅེས། །དེ་ལྟར་ཡིད་ལ་སོ་སོར་བརྟག །,ཅི་ནས་ཞེས་སྨོས་ཏེ། ཡང་དག་པ་ཇི་ལྟ་བས་ཇི་བཞིན་དུ་བླངས་པའི་གཙོ་བོའི་ཆེད་དུ་བསམ་པར་བྱའི་གཏང་བར་མི་བྱའོ། །དེ་ལྟར་སོ་སོར་རྟོག་པ་ནི་ཅི་དགེ་བ་བྱེད་དམ་འོན་ཏེ་མི་དགེ་བ་བྱེད་ཅེས་རྟོག་པའོ། །
འཇིགས་དང་དགའ་སྟོན་སོགས་འབྲེལ་བར། །གལ་ཏེ་མི་ནུས་ཅི་བདེར་བྱ། །འདི་ལྟར་སྦྱིན་པའི་དུས་དག་ཏུ། །ཚུལ་ཁྲིམས་བཏང་སྙོམས་བྱ་བར་གསུངས། །,ཡང་དག་པར་བླངས་པ་དེ་གཏང་བར་བྱ་བའི་སྐབས་བསྟན་པའི་ཕྱིར། འཇིགས་དང་ཞེས་སྨོས་ཏེ། སྦྲུལ་ལ་སོགས་པའོ། །དགའ་སྟོན་ནི་སངས་རྒྱས་མཆོད་པ་ལ་སོགས་པའོ། །དེའི་ཚེ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་བླངས་པ་ལྟར་མ་ནུས་ན། ཇི་ལྟར་བདེ་བའི་སྤྱོད་པས་གནས་ཀྱང་ལྟུང་བར་མི་འགྱུར་རོ། །སྦྱིན་པའི་དུས་དག་ཏུ་ཞེས་བྱ་བ་ནི་མི་ནུས་པའི་རིགས་མཚོན་པ་ཙམ་མོ། །ཚུལ་ཁྲིམས་ནི་ལུས་ལ་སོགས་པ་དག་པར་བསྡམས་པའོ། །
གང་ཞིག་བསམས་ཏེ་བྱར་བརྩམས་པ། །དེ་ལས་གཞན་དུ་མི་བསམ་སྟེ། །དེར་གཏང་བ་ཡི་བསམ་པ་ཡིས། །དེ་ཉིད་རེ་ཞིག་བསྒྲུབ་པར་བྱ། །,གསུངས་ཞེས་པ་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་སོ། །བསམས་ཏེ་ཞེས་པ་ནི་ནང་གི་བདག་ཉིད་སེམས་ཀྱིས་བརྟག་པར་བྱས་པའོ། །
དེ་ལྟ་ན་ནི་ཀུན་ལེགས་བྱས། །གཞན་དུ་གཉི་གར་མི་འགྱུར་རོ། །ཤེས་བཞིན་མ་ཡིན་ཉེ་ཉོན་མོངས། །དེ་ལྟ་ན་ནི་འཕེལ་མི་འགྱུར། །,ཀུན་ལེགས་པར་བྱས་པས་ནི་མཛེས་པར་བྱས་པའོ། །གཉི་གར་མི་འགྱུར་བ་ནི་བརྩམ་པར་བྱ་བ་དང་རྩོམ་པར་བྱེད་པ་གཉི་གར་མི་འགྱུར་བའོ། །ཤེས་བཞིན་མ་ཡིན་པ་ནི་གཏི་མུག་གོ། །
བྲེ་མོའི་གཏམ་ནི་སྣ་ཚོགས་དང་། །ངོ་མཚར་ལྟད་མོ་རྣམ་མང་པོ། །ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །དེ་ལ་ཆགས་པ་སྤང་བར་བྱ། །,གཞན་ཡང་གཏམ་ནི་རྒྱལ་པོའི་གླེང་ལངས་ལ་སོགས་པའོ། །སྣ་ཚོགས་ནི་རྣམ་པ་དུ་མའོ། །ངོ་མཚར་ནི་ཟློས་གར་ལ་སོགས་པའོ། །ཆགས་པ་ནི་མངོན་པར་འདོད་པའོ།།
དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་། །ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན། །བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,དེ་བཞིན་དུ་ས་བརྐོ་བ་དང་། སེན་མོ་གཅོད་པ་དང་། ས་རིས་བྱེད་པ་ལ་སོགས་པ་ནི་དོན་མེད་པ་སྟེ་འབྲས་བུ་མེད་པའོ། །བྱེད་པར་འགྱུར་ན་ཞེས་པ་ནི་དེ་དག་ལ་འཇུག་པར་འགྱུར་ནའོ། །བསླབ་པ་ནི་དེས་འགེགས་པའོ། །
གང་ཚེ་བསྐྱོད་པར་འདོད་གྱུར་ཏམ། །སྨྲ་བར་འདོད་པར་གྱུར་ན་ཡང་། །དང་པོར་རང་གི་སེམས་བརྟགས་ནས། །བརྟན་པས་རིག་པ་ལྡན་པར་བྱ། །,རང་གི་སེམས་ལ་སྟེ་ཆགས་སེམས་སུ་འདུག་གམ་འོན་ཏེ་སྡང་སེམས་སུ་འདུག་མི་འདུག་ཅེས་བརྟག་པའོ། །བརྟན་པ་ནི་སེམས་བརྟན་པོས་བྱས་པའོ། །
གང་ཚེ་རང་ཡིད་ཆགས་པ་དང་། །ཁྲོ་བར་འདོད་པ་དེ་ཡི་ཚེ། །ལས་སུ་མི་བྱ་སྨྲ་མི་བྱ། །ཤིང་བཞིན་དུ་ནི་གནས་པར་བྱ། །,རིགས་པར་ལྡན་པ་ནི་ཚིག་ལ་སོགས་པ་འོས་ཤིང་འཐད་པའོ། །ཆགས་པ་ནི་ཞེན་པའོ། །ཁྲོ་བ་ནི་གདུག་སེམས་ཀྱིས་སོ། །མི་བྱ་བ་ནི་ལུས་ཀྱིས་ལས་ལ་སོགས་པ་མི་བྱའོ། །
དགོད་དང་ག་ཞར་བཅས་པའམ། །གལ་ཏེ་ང་རྒྱལ་རྒྱགས་ལྡན་པའམ། །མཚང་འབྲུ་བ་ཡི་བསམ་པ་དང་། །གལ་ཏེ་སྐྱོར་འབྱིན་སླུ་སེམས་སམ། །,རྒོད་པ་ནི་རྣམ་པར་གཡེངས་པའོ། །ག་ཞ་ནི་ངག་གིས་ཐོ་འཚམས་པའོ། །ང་རྒྱལ་ནི་ཁེངས་པའོ། །རྒྱགས་པ་ནི་ཁོང་རྒྱགས་སོ། །མཚང་འབྲུ་བ་ནི་ལུས་སུན་འདོན་པ་སྟེ། དེ་ཤིན་ཏུ་གལ་ཆེ་བར་བྱེད་ཅིང་དེ་དང་ལྷན་ཅིག་འགྲོགས་པའོ། །སྦྱོར་འབྱིན་པ་ནི་ལོགས་སུ་འཁྱོག་པའོ། །སླུ་བ་ནི་སླུས་བྱེད་པའོ།།
གང་ཚེ་བདག་བསྟོད་ལྷུར་ལེན་པའམ། །གཞན་ལ་སྨོད་པ་ཉིད་དང་ནི། །གཤེ་བཅས་འགྱོད་དང་བཅས་གྱུར་པ། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,བདག་ལ་བསྟོད་པ་ནི་བདག་གི་ཡོན་ཏན་ཆེད་དུ་བརྗོད་པ་སྟེ། དེའི་རང་བཞིན་དེ་ལྟར་སྣང་བའོ། །གཤེ་བ་ནི་ཨག་ཙར་རོ། །འགྱེད་པ་ནི་ཁྲོ་འདོད་ཅིང་འཁྲུག་པའོ། །
རྙེད་དང་བཀུར་སྟི་གྲགས་འདོད་པའམ། །གཡོག་འཁོར་དོན་དུ་གཉེར་འདོད་པའམ། །བདག་སེམས་རིམ་གྲོ་འདོད་གྱུར་ན། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,གཡོག་འཁོར་ནི་བྲན་འཁོར་རོ། །རིམ་གྲོ་ནི་གཞན་གྱིས་ཞབས་ཏོག་བྱེད་པའོ། །
གཞན་དོན་ཡལ་བར་འདོར་བ་དང་། །རང་དོན་གཉེར་བར་འདོད་པ་དང་། །སྨྲ་བར་འདོད་པའི་སེམས་བྱུང་ན། །དེས་ནི་ཤིང་བཞིན་གནས་པར་བྱ། །,ཡལ་བར་འདོར་བ་ནི་རྒྱབ་ཀྱིས་ཕྱོགས་པའོ། །འཁོར་དུ་འདོད་པ་ནི་སློབ་པར་འདོད་པའོ། །སྨྲ་བར་འདོད་པ་ནི་འབྲེལ་མེད་སྨྲ་བར་འདོད་པའོ། །
མི་བཟོད་ལེ་ལོ་འཇིགས་པ་དང་། །དེ་བཞིན་སྤྱི་རྟོལ་མུ་ཅོར་དང་། །རང་གི་ཕྱོགས་ཞེན་སེམས་བྱུང་ན། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,མི་བཟོད་པ་ནི་བསྲན་པར་མི་ནུས་པའི་ཚུལ་དང་གང་ལྡན་པའོ། །ལེ་ལོ་ནི་སྒྱིད་སྙམ་མོ། །འཇིགས་པ་ནི་དངངས་པ་ལ་སོགས་པའོ། །སྤྱི་བརྟོལ་ནི་ཐོ་ཚེའོ། །མུ་ཅོར་ནི་ཚིག་ངན་པའི་རུང་རུང་ངོ་། །
དེ་ལྟར་ཀུན་ནས་ཉོན་མོངས་དང་། །དོན་མེད་བརྩོན་པའི་ཡིད་བརྟགས་ནས། །དེ་ཚེ་དཔའ་བོས་གཉེན་པོ་ཡིས། །དེ་ནི་བརྟན་པོར་གཟུང་བར་བྱ། །,དེ་ལྟར་ཞེས་པ་ནི་བརྗོད་པའི་རིམ་པ་ལྟར་རོ། །ཀུན་ནས་ཉོན་མོངས་པ་ནི་རྣམ་པར་འཁྲུགས་པའོ། །དོན་མེད་བརྩོན་པ་ནི་འབྲས་བུ་མེད་པའི་བྱ་བ་བྱེད་པའོ། །གཉེན་པོ་ནི་ཤེས་བཞིན་ནོ།།ངེས་དོན་བརྟན་པོར་གཟུང་བར་བྱའོ། །
ཤིན་ཏུ་ངེས་དང་རབ་དད་དང་། །བརྟན་དང་གུས་དང་ཞེ་སར་བཅས། །ངོ་ཚ་ཤེས་དང་འཇིགས་བཅས་དང་། །ཞི་ཞིང་གཞན་དགའ་བྱེད་ལ་བརྩོན། །,གཉེན་པོ་དེ་ཉིད་བསྟན་པའི་ཕྱིར། ཤིན་ཏུ་ངེས་དང་ཞེས་བྱ་བ་ལ་སོགས་པ་ཚིགས་སུ་བཅད་པ་གསུམ་གསུངས་ཏེ། ཤིན་ཏུ་ངེས་པ་ནི་དམ་བཅའ་བ་བརྟན་པའོ། །རབ་དད་ནི་དད་པའོ། །བརྟན་པ་ནི་མི་སྔར་བའོ། །གུས་པ་ནི་སེམས་འདུད་པའོ།།ཞེས་ནི་ལུས་ལ་སོགས་པ་འདུད་པའོ། །འཇིགས་པ་ནི་བག་ཚ་བའོ། །ཞི་བ་ནི་དབང་པོ་བསྡམས་པའོ། །གཞན་དགའ་བར་བྱེད་པ་ནི་སྦྱིན་པ་ལ་སོགས་པས་སོ། །
ཕན་ཚུན་མི་མཐུན་བྱིས་པ་ཡི། །འདོད་པ་རྣམས་ཀྱིས་མི་སྐྱོ་ཞིང་། །ཉོན་མོངས་སྐྱེས་པ་འདི་དག་གི། །སེམས་འདི་བྱུང་སྙམ་བརྩེར་ལྡན་དང་། །,འདོད་པས་མི་སྐྱོ་བ་ནི་བྱིས་པ་རྣམས་ཀྱི་འདོད་པས་སོ།།ཕན་ཚུན་མི་མཐུན་པས་མི་སྐྱོ་སྟེ་བཟོད་པའི་ཚུལ་དང་ལྡན་པའི་ཕྱིར་རོ། །ཉོན་མོངས་པའི་དབང་གིས་ཤེས་པ་བརྩེ་བ་དང་ལྡན་པའོ། །
ཁ་ན་མ་ཐོ་མེད་དངོས་ལ། །བདག་དང་སེམས་ཅན་དབང་བྱས་ཤིང་། །སྤྲུལ་པ་བཞིན་དུ་ང་མེད་པར། །ཡིད་འདི་རྟག་ཏུ་གཟུང་བར་བྱ། །,བདག་དང་སེམས་ཅན་དབང་བྱས་ཞེས་པ་ནི་རང་བཞིན་གྱི་དབང་དུ་བྱས་པའོ། །ཅི་ཐམས་ཅད་དུའམ་སྙམ་པ་ལ།ཁ་ན་མ་ཐོ་བ་མེད་ཅེས་གསུངས་ཏེ། རང་བཞིན་དང་བཅས་པའི་ཁ་ན་མ་ཐོ་བས་སྟོང་པ་ལའོ། །སྤྲུལ་པ་བཞིན་དུ་ཞེས་བྱ་བ་ནི་སྤྲུལ་པ་དང་འདྲ་སྟེ།སྤྲུལ་པ་ལྟར་ང་རྒྱལ་དང་བྲལ་བའོ། །འདི་ཞེས་བྱ་བ་ནི་ཡིད་ངེས་པར་གཟུང་བའོ། །
རིང་ཞིག་ལོན་ནས་དལ་བའི་མཆོག །ཐོབ་པ་ཡང་དང་ཡང་བསམས་ནས། །སེམས་དེ་ལྟ་བུར་རི་རབ་ལྟར། །རབ་ཏུ་མི་གཡོ་གཟུང་བར་བྱ། །,གཞན་ཡང་འདིའི་ཕྱིར་ཡང་གཟུང་བར་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར། རིང་ཞིག་ལོན་ནས་ཞེས་སྨོས་ཏེ། གྲངས་མེད་པ་ནས་སོ། །གོང་དུ་བརྗོད་པའི་རང་བཞིན་གྱིས་སེམས་པ་ལྟ་བུ་ཡུན་རིང་མོ་ཞིག་ནས་ཞེས་བྱ་བ་ཡིན་གྱི་ལུས་ནི་མ་ཡིན་ཏེ། དེས་རང་གི་དོན་ཡང་མི་ནུས་པའི་ཕྱིར་རོ། །རབ་ཏུ་མི་གཡོ་བ་ནི་མི་འགུལ་བར་རོ། །
བྱ་རྒོད་ཤ་ལ་ཆགས་པ་ཡིས། །ཕན་ཚུན་ཀུན་དུ་བཤལ་ཁྲིད་ཀྱང་། །ཡིད་ཁྱོད་མི་དགར་མི་བྱེད་ན། །ད་ལྟ་ཅི་ཕྱིར་ཁ་ཏ་བྱེད། །,གཞན་ཡང་ལུས་ཀྱི་ཁང་བསྲུང་བ་ཅིའི་ཕྱིར་བྱེད་ཅེས་བསྟན་པའི་ཕྱིར། བྱ་རྒོད་ཅེས་སྨོས་ཏེ། བྱ་རྒོད་བཟའ་བར་བྱ་རྒྱུ་ཤ་ལ་ཆགས་པ་ཡིས། །བཤལ་ཁྲིད་དེ་དྲུད་ཅིང་ཁྱེར་བའོ། །མཁོ་རྒྱུ་མེད་པའི་ལུས་འདི་སེམས་ཀྱིས་ཀྱང་བསྲུང་བར་མི་རིགས་སོ་ཞེས་བསྟན་པའི་ཕྱིར།
