Source,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted,07_commentary_and_glossary_assisted
འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས། །ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས། །འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས། །རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་། །,"Examined well by the sole leader of beings with his immeasurable mind, it has great value. So you who wish to leave the places of beings, firmly grasp hold of precious bodhichitta.","The sole guide of beings, with immeasurable wisdom, When thoroughly examined, is found to be precious. Those who wish to be free from the realms of existence, Should firmly hold the precious bodhicitta.","The sole guide of beings, with immeasurable mind, If thoroughly examined well, is precious. Those who wish to be free from the abodes of beings, Hold firmly well the precious bodhicitta.","The sole captain of beings, with immeasurable mind, When thoroughly examined, is found to be precious. Those who wish to be free from the realms of beings, Hold firmly to the precious, excellent bodhicitta.","The sole captain of beings, with immeasurable wisdom, Has thoroughly examined and found it most precious. Those who wish to be free from the realms of suffering, Hold firmly to the precious jewel of bodhicitta.","The sole Leader of beings, with an immeasurable mind, Has thoroughly examined and found it precious. For those who wish to be free from the realms of beings, Hold firmly to the precious mind of enlightenment.","The sole guide of beings, with wisdom boundless, Has well discerned this jewel beyond all measure. Those who wish freedom from realms of suffering, Hold fast bodhicitta, this gem most treasured."
དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི། །འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད། །བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། །འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར། །,"All other virtues, like banana trees, Are spent once they have produced a result. The tree of bodhichitta constantly Bears fruit, thus thriving inexhaustibly.","All other virtuous deeds are like water trees: After bearing fruit, they are exhausted and come to an end. But the tree of bodhicitta (the awakening mind) is everlasting: It continually bears fruit and grows inexhaustibly.","All other virtues, like plantain trees, Produce their fruit and then are exhausted. The tree of bodhicitta, however, Constantly bears fruit and increases inexhaustibly.","All other virtues are like water trees - After bearing fruit, they are exhausted. But the tree of bodhicitta always Produces fruit without exhaustion and keeps growing.","All other virtuous deeds are like water plants, Producing fruit and then becoming exhausted. But the tree of bodhicitta continually Bears fruit without exhaustion and keeps growing.","All other virtues, like banana trees, Produce their fruit and then are exhausted. But the tree of bodhichitta constantly Yields fruit, inexhaustibly increasing.","All other virtues, like banana trees, Bear fruit but once, then wither and are done. The tree of bodhichitta, ever green, Yields fruit unceasing, growing without end."
སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་། །དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར། །གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན། །,"Like those who in great danger, rely on heroes, Why would the careful not rely on that Which liberates them in a single instant, Even if they have done horrendous wrongs?","Even if one has committed utterly unbearable misdeeds, By relying on the brave, as in great fear, One who relies on that which instantly liberates, Why would the conscientious not rely on it?","Even if one has committed extremely unbearable negative actions, Just as one who is terrified relies on a hero, Those who are cautious, why would they not rely On that which, when relied upon, swiftly liberates?","Even if one has committed utterly unbearable misdeeds, By relying on the brave, like in great fear, One who swiftly liberates by relying on them - Why would the conscientious not rely on such a one?","Even if one has committed utterly unbearable negative actions, Just as one relies on the brave to escape great fears, Why would those who are conscientious not rely On that which can swiftly liberate them?","Even if one has committed utterly unbearable misdeeds, Like great dangers overcome by relying on a hero, That which can swiftly liberate when relied upon— Why would the careful ones not rely on it?","Though dreadful misdeeds have been committed, As one escapes great peril through a hero's aid, That which swiftly liberates when relied upon— Why wouldn't the careful on this depend?"
དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས། །སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད། །དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག །བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟངས་བཤད། །,"Like the inferno at an age's end, it burns up great misdeeds in a single instant. The wise protector Maitreya explained its countless benefits to Sudhana.","Like the fire at the end of time, it surely burns away Great sins in a single instant. Its boundless benefits Were explained to Sudhana by the loving protector Maitreya of supreme wisdom.","Like the fire at the end of time, this bodhisattva vow certainly burns great negativities in a single instant. Its immeasurable benefits were explained to Sudhana by the intelligent protector Maitreya.","Like the fire at the end of time, it instantly and certainly Burns away even great negativities. Its boundless benefits Were explained to Sudhana by the loving protector Maitreya.","Like the fire at the end of time, it instantly and certainly burns away great negativities. Its immeasurable benefits were explained to Norbu Zangpo by the wise protector Maitreya.","Like the inferno at an age's end, it certainly burns away Great misdeeds in a single instant. The immeasurable benefits of this Were explained by the wise Maitreya to Sudhana.","Like the inferno at an age's end, it burns Great misdeeds to ash in but a single instant. Its benefits, beyond all measure vast, Were to Sudhana by wise Maitreya told."
བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན། །རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ། །བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི། །བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ། །,"To summarize, it's understood there are two types of bodhichitta: The mind aspiring for awakening and engagement in awakening.","In brief, bodhicitta should be understood As being of two types: The mind aspiring to enlightenment, And the mind engaging in enlightenment.","Bodhicitta, in brief, should be understood as two types: the mind of aspiration for enlightenment and the actual engagement in enlightenment.","In brief, the bodhicitta mind Should be understood as twofold: The mind aspiring to enlightenment And the mind entering enlightenment.","In brief, bodhicitta should be understood as two types: The mind of aspiration for enlightenment, And the mind of engagement in enlightenment.","Bodhichitta, in brief, should be understood as twofold: Aspirational bodhichitta and Engaged bodhichitta itself.","Bodhichitta, in brief, should be known As having two distinct aspects shown: The mind aspiring to enlightenment, And that which in its practice is engaged."
འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །,"Just as they know the difference between the wish to go and going, the wise should understand the contrast between these two, respectively.","Just as one understands the difference Between wishing to go and actually going, So should the wise person understand The distinction between these two in sequence.","Just as one understands the distinction Between desiring to go and actually going, So too should the wise one understand The distinction between these two, respectively.","Just as one knows the difference Between wishing to go and going, So should the wise understand The distinction between these two in sequence.","Just as one understands the difference Between wishing to go and actually going, So should the wise person understand The distinction between these two in sequence.","Just as one understands the difference Between desiring to go and actually going, In the same way, the wise one should Step-by-step understand the distinction between these two.","As one discerns between the wish to go And actually going on one's way, So should the wise know step-by-step The difference 'tween these two states."
བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི། །འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་། །ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ། །བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན། །,"Even in samsara, great results Come from aspiring bodhichitta, Though unlike engaged bodhichitta, The merit is not continuous.","From the mind that aspires to enlightenment, Great results arise while in samsara. However, unlike the mind that engages in practice, It does not produce a continuous stream of merit.","Although great fruits arise while in samsara From the bodhicitta of aspiration, A continuous stream of merit Does not arise as it does from the bodhicitta of engagement.","Although great results arise from the aspiring mind of enlightenment When circling in samsara, Unlike the mind of actual engagement, It does not produce a continuous stream of merit.","Although great fruits arise from the mind of aspiration for enlightenment Even while wandering in samsara, A continuous stream of merit Does not occur as it does with the mind of engagement.","Although great results arise in samsara from the aspiration for enlightenment, Unlike the engaged bodhichitta, It does not give rise to a continuous stream of merit.","From aspiring bodhichitta, while in samsara's rounds, Great fruits arise, yet not in constant streams Of merit, as from engaged bodhichitta flow— A ceaseless font of virtue, ever gleams."
གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས། །མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར། །མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ། །སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ། །,"But from the moment, when for the sake Of freeing beings in infinite realms, You truly take up this intent With irreversible resolve,","From this point onward, for the sake of liberating The infinite realm of sentient beings, With an irreversible mind, I genuinely take up this resolve.","From the moment that, for the purpose of Liberating the limitless realm of sentient beings, One truly takes up that intention With an irreversible mind.","From this moment on, in order to liberate The infinite realms of sentient beings, With an unwavering mind, I genuinely generate that resolve.",From the moment one genuinely takes up With an irreversible mind The aspiration to completely liberate The limitless realms of beings.,"From that point onward, for the sake of completely liberating The infinite realms of beings, With an irreversible mind, That mind is truly taken up.","From when one vows to free all beings' realms, Infinite in number, from their bonds, With mind irreversible, resolved, This bodhicitta is truly embraced."
དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ། །བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས། །རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག །ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་། །,"From that time on, the many powers Of merit flow forth unremitting In torrents equal to the sky Even when you're asleep or careless.","From this day forward, even while sleeping Or in moments of carelessness, the force of merit Will arise continuously and abundantly, As vast and boundless as space itself.","From now on, whether I am asleep Or even if I become careless, An uninterrupted force of merit, Manifold and equal to space, will continually arise.","From this day forward, even while asleep Or heedless, the force of merit Shall flow unceasingly and manifold, Arising vastly, equal to space.","From this moment onward, even while sleeping or in a state of heedlessness, The force of merit, unceasing and manifold, Will arise abundantly, equal to the expanse of space.","From now on, whether asleep Or carelessly distracted, the power of merit Unceasing and manifold, Flows forth as vast as space.","From this day forth, though I may sleep Or act with careless disregard, An unceasing flow of merit's might, Vast as space itself, springs forth."
འདི་ནི་འཐད་པ་དང་བཅས་པར། །ལག་བཟང་གིས་ནི་ཞུས་པ་ལས། །དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས། །,The Tathagata himself explained this and its reasons for the sake of beings inclined to the Foundation in the Sutra Requested by Subahu.,"This was asked with reasoning By Subahu (Good Arm), For the sake of beings of lesser inclination, The Tathagata himself thus spoke.","This, along with reasoning, was requested by Subahu. For the sake of sentient beings of lesser inclination, The Tathagata himself taught this.","This was requested with reasoning By Subahu in his questions. For the sake of beings of lesser inclination, The Tathagata himself taught it thus.","This teaching on bodhicitta, with reasoning, Was requested by Subahu. For the sake of beings inclined to the lesser vehicles, The Tathagata himself taught it.","This was reasonably requested by Subahu, For the benefit of beings of lesser inclination, The Tathagata himself has taught it.","This truth, with reasoning sound, was taught In Subahu's request to the sage, For beings of lesser inclination, The Tathagata himself proclaimed."
སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ། །བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་། །ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ། །བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན། །,"If someone who benevolently intends to merely eliminate sharp pains in sentient beings' heads possesses immeasurable merit,","Even if one merely thinks of removing The mental afflictions of sentient beings, That altruistic intention alone Is endowed with immeasurable merit.","Even if one merely thinks, ""I will remove Just the headaches of sentient beings,"" If one possesses such a beneficent intention, One becomes endowed with immeasurable merit.","Even if one merely thinks of removing The headaches of sentient beings, Such a beneficent intention Is endowed with immeasurable merit.","Even if one merely thinks of removing Just the headaches of beings, Such a beneficent intention Is endowed with immeasurable merit.","Even if one merely contemplates eliminating The head pain of sentient beings, That benevolent intention Is endowed with immeasurable merit.","If merely thinking to relieve A headache for some beings brings Such merit beyond measure, then What of the wish to end all pain?"
སེམས་ཅན་རེ་རེའི་མི་བདེ་བ། །དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་། །རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ། །བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས། །,What need to speak of those who wish To rid all sentient beings of Untold distresses and endow Each one with boundless qualities?,"Wishing to remove the immeasurable sufferings Of each and every sentient being, And to accomplish immeasurable qualities For each and every one - what need is there to say more?","Wishing to remove the immeasurable sufferings Of each and every sentient being, And to accomplish immeasurable qualities For each and every one - needless to say!","Wishing to remove the immeasurable sufferings Of each and every sentient being, And to establish each one In boundless qualities—what need is there to mention?","Wishing to remove the countless sufferings Of each and every sentient being, And desiring to establish each one In immeasurable qualities—need it be said how vast this aspiration is?","Wishing to remove the immeasurable suffering Of each and every sentient being, And desiring to accomplish infinite qualities For each one - what need is there to say more?","To wish to end each being's countless woes, And for each one, boundless virtues sow— If such intent yields merit beyond measure, How much more so this vast aspiration's treasure?"
ཕའམ་ཡང་ན་མ་ཡང་རུང་། །སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་། །ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ། །,Who has such altruism as this? Does even a father or a mother? Or do the gods or else the rishis? Do even Brahmas harbor this?,"Whether father or mother, Who has such a benevolent mind? Even among gods and sages, Does Brahma himself possess this?","Father or even mother, Who has such an altruistic intention? Even among devas and sages, Does even Brahma have this?","Who has such altruistic intent as this? Be it father or mother, Or gods and sages, Does even Brahma possess this?","Whether it be father or mother, Who has such altruistic intent as this? Even among deities and sages, Or even Brahma, does such exist?","Whether father or mother, Who has such a benevolent mind? Even among gods and sages, Does Brahma himself possess this?","Do father, mother, or any kin Harbor such altruistic intent? Do gods or sages, high or low, Or even Brahma, match this sentiment?"
