Word,Translation,Line,Verse
བརྗོད་པར་བྱ་,say,ལེགས་པར་སྨས་པ་ཐམས་ཅད་ལ། །དགེ་བར་གསུངས་ཞེས་བརྗོད་པར་བྱ།,ལེགས་པར་སྨས་པ་ཐམས་ཅད་ལ། །དགེ་བར་གསུངས་ཞེས་བརྗོད་པར་བྱ། །བསོད་ནམས་བྱེད་པ་མཐོང་གྱུར་ན། །བསྟོད་པས་ལེགས་པར་དགའ་བ་བསྐྱེད། །
སྔོན་ཆད་,before,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
སྔོན་ཆད་,past,སྔོན་ཆད་ཁྱེད་ཀྱི་བཀའ་ལས་འདས། །,སྔོན་ཆད་ཁྱེད་ཀྱི་བཀའ་ལས་འདས། །ད་ནི་འཇིགས་པ་ཆེ་མཐོང་ནས། །ཁྱེད་ལ་སྐྱབས་སུ་མཆི་ལགས་ཀྱིས། །འཇིགས་པ་མྱུར་དུ་བསལ་དུ་གསོལ། །
སྔོན་ཆད་,in the past,བདག་གིས་སྔོན་ཆད་སེམས་ཅན་ལ། །,བདག་གིས་སྔོན་ཆད་སེམས་ཅན་ལ། །འདི་འདྲ་བ་ཡི་གནོད་པ་བྱས། །དེ་བས་སེམས་ཅན་འཚེ་བྱེད་པ། །བདག་ལ་གནོད་པ་འདི་འབྱུང་རིགས། །
བརྗོད་,say,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
བརྗོད་,speak,ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་།,ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་། །ཡོན་ཏན་བརྗོད་ན་རྗེས་སུ་བརྗོད། །རང་གི་ཡོན་ཏན་བརྗོད་ན་དེ། །ཡོན་ཏན་ཤེས་པར་རིག་པར་བྱ། །
བརྗོད་,discussing,དེ་ན་བརྗོད་ཀྱང་དོན་མེད་དོ། །,གང་ཚེ་འགས་ཀྱང་མཐོང་མིན་ན། །གསལ་བའམ་ནི་མི་གསལ་བ། །མོ་གཤམ་བུ་མོའི་འགྱིང་བག་བཞིན། །དེ་ན་བརྗོད་ཀྱང་དོན་མེད་དོ། །
མཁས་པ་,skilled,།སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
མཁས་པ་,wise,དེ་ལྟར་གནས་པའི་མཁས་པ་ལ། །བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད། །,རྒྱལ་སྲས་རྣམས་ཀྱིས་མི་བསླབ་པ། །དེ་ནི་གང་ཡང་ཡོད་མིན་ཏེ། །དེ་ལྟར་གནས་པའི་མཁས་པ་ལ། །བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད། །
མཁས་པ་,learned,རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི། །ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་། །,རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི། །ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའི་བརྟུལ་ཞུགས་མཆོག །སྲོག་གི་ཕྱིར་ཡང་མི་བཏང་ངོ་། །
བདག་,I/self,།སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
བདག་,My,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །
བདག་,mine,བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །
བདག་,I,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །
བདག་,my,བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །
བདག་,me,སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག །གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི། །,རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི། །བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི། །སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག །གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི། །
བདག་,myself,དོན་མེད་གཡེང་བར་ལྟ་བ་ནི། །ནམ་ཡང་བདག་གིས་མི་བྱ་སྟེ། །,དོན་མེད་གཡེང་བར་ལྟ་བ་ནི། །ནམ་ཡང་བདག་གིས་མི་བྱ་སྟེ། །ངེས་པར་སེམས་པས་རྟག་ཏུ་ནི། །མིག་ནི་ཕབ་སྟེ་བལྟ་བར་བྱ། །
བདག་,us,བདག་གམ་བདག་གི་བཤེས་རྣམས་ལ།,བདག་གམ་བདག་གི་བཤེས་རྣམས་ལ། །སྡུག་བསྔལ་བརྙས་དང་ཚིག་རྩུབ་དང་། །མི་སྙན་ཞེས་བྱ་མི་འདོད་དེ། །དགྲ་ལ་དེ་ལས་བཟློག་པས་སོ། །
བདག་,self,བདག་ཅེས་བརྟགས་པ་གང་ཡིན་པ། །,གཙོ་བོ་ཞེས་བྱར་གང་འདོད་དང་། །བདག་ཅེས་བརྟགས་པ་གང་ཡིན་པ། །དེ་ཉིད་བདག་ནི་འབྱུང་བྱ་ཞེས། །ཆེད་དུ་བསམས་ཤིང་འབྱུང་བ་མེད། །
བདག་,themselves,བག་མེད་པས་ནི་བདག་ལའང་བདག །ཚེར་མ་ལ་སོགས་གནོད་པ་བྱེད།,བག་མེད་པས་ནི་བདག་ལའང་བདག །ཚེར་མ་ལ་སོགས་གནོད་པ་བྱེད། །བུད་མེད་ལ་སོགས་ཐོབ་བྱའི་ཕྱིར། །རྔམ་ཞིང་ཟས་གཅོད་ལ་སོགས་བྱེད། །
བདག་,"['I', 'my']",དེ་ཡི་མཚོན་དང་བདག་གི་ལུས། །,དེ་ཡི་མཚོན་དང་བདག་གི་ལུས། །གཉི་ག་སྡུག་བསྔལ་རྒྱུ་ཡིན་ཏེ། །དེས་མཚོན་བདག་གི་ལུས་ཕྱུང་ན། །གང་ཞིག་ལ་ནི་ཁྲོ་བར་བྱ། །
བདག་,"['I', 'myself']",གལ་ཏེ་བདག་གིས་བདག་བསྲུངས་ན། །དེ་དག་ལ་འདིར་ཅི་ཞིག་བྱུང་། །,གལ་ཏེ་བདག་ལ་བསམ་པ་ཡི། །ཡོན་ཏན་ཡོད་ན་དམྱལ་མི་འགྲོ། །གལ་ཏེ་བདག་གིས་བདག་བསྲུངས་ན། །དེ་དག་ལ་འདིར་ཅི་ཞིག་བྱུང་། །
བདག་,my own,བདག་དང་གཞན་གྱི་ཉེས་པ་ནི། །,བདག་དང་གཞན་གྱི་ཉེས་པ་ནི། །དཔག་མེད་བདག་གིས་གཞོམ་བྱ་སྟེ། །གང་དུ་ཉེས་པ་རེ་རེ་ལའང་། །བསྐལ་པ་རྒྱ་མཚོ་ཟད་འགྱུར་བ། །
བདག་,yourself,བདག་ལ་སྨད་ནས་ཅི་ནས་ཀྱང་། །,ཉེས་པ་བྱུང་བ་རེ་རེ་ཞིང་། །བདག་ལ་སྨད་ནས་ཅི་ནས་ཀྱང་། །བདག་ལ་ཕྱིས་འདི་མི་འབྱུང་བ། །དེ་ལྟར་བྱ་ཞེས་ཡུན་རིང་བསམ། །
བདག་,your,བདག་གི་ལུས་ལ་ཅི་སྣང་བ། །,གཞན་གྱི་རྟོག་ཆེན་བྱས་ནས་ནི། །བདག་གི་ལུས་ལ་ཅི་སྣང་བ། །དེ་དང་དེ་ཉིད་ཕྲོགས་བྱས་ནས། །ཁྱོད་ཀྱིས་གཞན་ལ་ཕན་པ་སྤྱོད། །
བདག་,itself,།སྔོ་ཉིད་མིན་ལ་སྔོན་པོར་དེ། །བདག་གིས་བདག་ཉིད་བྱས་པ་མེད།,དེ་བཞིན་འགའ་ཞིག་གཞན་ལ་ནི། །ལྟོས་དང་ལྟོས་མེད་པ་ཡང་མཐོང་། །སྔོ་ཉིད་མིན་ལ་སྔོན་པོར་དེ། །བདག་གིས་བདག་ཉིད་བྱས་པ་མེད། །
གཞན་དོན་,benefit of others,།དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
གཞན་དོན་,others' weal,དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །
གཞན་དོན་,sake of others,དེ་ལྟར་རིག་བྱས་གཞན་དོན་ལ། །རྟག་ཏུ་བརྩོན་པར་གནས་པར་བྱ།,དེ་ལྟར་རིག་བྱས་གཞན་དོན་ལ། །རྟག་ཏུ་བརྩོན་པར་གནས་པར་བྱ། །ཐུགས་རྗེ་མངའ་བ་རིང་གཟིགས་པས། །བཀག་པ་རྣམས་ཀྱང་དེ་ལ་གནང་། །
གཞན་དོན་,others' sake,གཞན་དོན་འཁོར་བར་གནས་ཀྱང་ནི། །,བསོད་ནམས་ཀྱིས་ནི་ལུས་བདེ་ལ། །མཁས་པ་ཡིས་ནི་སེམས་བདེ་ན། །གཞན་དོན་འཁོར་བར་གནས་ཀྱང་ནི། །སྙིང་རྗེ་ཅན་དག་ཅི་སྟེ་སྐྱོ། །
གཞན་དོན་,altruism,།གལ་ཏེ་སྤྱད་ན་ཅི་སྦྱིན་ཅེས། །གཞན་དོན་སེམས་པ་ལྷ་ཡི་ཆོས།,གལ་ཏེ་བྱིན་ན་ཅི་སྤྱད་ཅེས། །བདག་དོན་སེམས་པ་འདྲེ་ཡི་ཚུལ། །གལ་ཏེ་སྤྱད་ན་ཅི་སྦྱིན་ཅེས། །གཞན་དོན་སེམས་པ་ལྷ་ཡི་ཆོས། །
བསམ་པ་,intention,།དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
བསམ་པ་,desires,།ཡིད་ལ་བསམ་པ་མཐའ་དག་རྫོགས་བྱེད་པ།,སེམས་ཅན་གྲངས་མཐའ་ཡས་ལ་དུས་རིང་དུ། །བདེ་བར་གཤེགས་ཀྱི་བདེ་བ་བླ་ན་མེད། །ཡིད་ལ་བསམ་པ་མཐའ་དག་རྫོགས་བྱེད་པ། །རྟག་ཏུ་སྦྱིན་པ་ལྟ་ཞིག་སྨོས་ཅི་དགོས། །
བསམ་པ་,attention,དེར་གཏང་བ་ཡི་བསམ་པ་ཡིས། །,གང་ཞིག་བསམས་ཏེ་བྱར་བརྩམས་པ། །དེ་ལས་གཞན་དུ་མི་བསམ་སྟེ། །དེར་གཏང་བ་ཡི་བསམ་པ་ཡིས། །དེ་ཉིད་རེ་ཞིག་བསྒྲུབ་པར་བྱ། །
བསམ་པ་,thought,མཚང་འབྲུ་བ་ཡི་བསམ་པ་དང་། །,དགོད་དང་ག་ཞར་བཅས་པའམ། །གལ་ཏེ་ང་རྒྱལ་རྒྱགས་ལྡན་པའམ། །མཚང་འབྲུ་བ་ཡི་བསམ་པ་དང་། །གལ་ཏེ་སྐྱོར་འབྱིན་སླུ་སེམས་སམ། །
བསམ་པ་,wishes,དེ་ལྟར་བྱས་ན་སེམས་ཅན་གྱི། །བསམ་པ་མྱུར་དུ་རྫོགས་པར་འགྱུར། །,དམ་པའི་ཆོས་ནི་སྤྱོད་པའི་ལུས། །ཕྲན་ཚེགས་ཆེད་དུ་གནོད་མི་བྱ། །དེ་ལྟར་བྱས་ན་སེམས་ཅན་གྱི། །བསམ་པ་མྱུར་དུ་རྫོགས་པར་འགྱུར། །
བསམ་པ་,intent,སྙིང་རྗེའི་བསམ་པ་མ་དག་པར། །,སྙིང་རྗེའི་བསམ་པ་མ་དག་པར། །ལུས་འདི་གཏང་བར་མི་བྱ་སྟེ། །ཅི་ནས་འདི་དང་གཞན་དུ་ཡང་། །དོན་ཆེན་སྒྲུབ་པའི་རྒྱུར་གཏང་ངོ་། །
བསམ་པ་,contemplating,མོས་པ་སྡུག་བསྔལ་འཇིགས་པ་དང་། །དེ་ཡི་ཕན་ཡོན་བསམ་པས་བསྐྱེད། །,སེམས་ཅན་དོན་གྲུབ་བྱ་ཕྱིར་དཔུང་། །མོས་བརྟན་དགའ་དང་དོར་བ་ཡིན། །མོས་པ་སྡུག་བསྔལ་འཇིགས་པ་དང་། །དེ་ཡི་ཕན་ཡོན་བསམ་པས་བསྐྱེད། །
བསམ་པ་,thoughts,བདག་འདྲ་ངན་པས་སྨོས་ཅི་དགོས། །དེ་བས་འཇིག་རྟེན་བསམ་པ་བཏང་། །,སེམས་ཅན་མོས་པ་སྣ་ཚོགས་པ། །རྒྱལ་བས་ཀྱང་ནི་མི་མགུ་ན། །བདག་འདྲ་ངན་པས་སྨོས་ཅི་དགོས། །དེ་བས་འཇིག་རྟེན་བསམ་པ་བཏང་། །
མེད་,do not have,།དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
མེད་,no longer,གདོན་མི་ཟ་བར་མེད་འགྱུར་ན། །,བདག་ལ་མི་འཇིགས་སུ་ཡིས་བྱིན། །འདི་ལས་ཇི་ལྟར་ངེས་ཐར་ཞེས། །གདོན་མི་ཟ་བར་མེད་འགྱུར་ན། །ཇི་ལྟར་བདག་ཡིད་བདེ་བར་འདུག །
མེད་,don't exist,མ་སྐྱེས་པར་ནི་དེ་མེད་ན། །དེ་ཚེ་སྐྱེ་བར་འདོད་པ་གང་།,མ་སྐྱེས་པར་ནི་དེ་མེད་ན། །དེ་ཚེ་སྐྱེ་བར་འདོད་པ་གང་། །ཡུལ་ལ་རྟག་ཏུ་གཡེང་འགྱུར་བ། །འགག་པར་འགྱུར་བའང་མ་ཡིན་ནོ། །
མེད་,absent,གང་ཞིག་གང་མེད་མི་འབྱུང་ལ། །,གང་ཞིག་གང་མེད་མི་འབྱུང་ལ། །གང་ཞིག་ཡོད་ན་ཡོད་གྱུར་པ། །དེ་ཉིད་དེ་ཡི་རྒྱུ་ཡིན་ན། །ཇི་ལྟར་དེ་ལ་གེགས་ཞེས་བྱ། །
མེད་,exists,གང་ཚེ་གང་ཞིག་མེད་དོ་ཞེས། །བརྟག་བྱའི་དངོས་པོ་མི་དམིགས་པ། །,གང་ཚེ་གང་ཞིག་མེད་དོ་ཞེས། །བརྟག་བྱའི་དངོས་པོ་མི་དམིགས་པ། །དེ་ཚེ་དངོས་མེད་རྟེན་བྲལ་བ། །བློ་ཡི་མདུན་ན་ཇི་ལྟར་གནས། །
མེད་,can't be fixed,།འོན་ཏེ་དེ་ནི་མེད་ན་ཡང་། །རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད།,དངོས་པོ་ཡོད་པར་གྱུར་པ་ལ། །རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད། །འོན་ཏེ་དེ་ནི་མེད་ན་ཡང་། །རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད། །
རང་གི་,one's own,།རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །
